"",BBQFS.M.U20100.BANK.BOND_FOR_SH.U2.GOVE,BBQFS.M.U20100.BANK.BOND_FOR_SH.U2.GOVE_FLAGS
"",Euro-area Monetary financial institutions' holdings of securities issued by foreign general government in the euro area - share in institutions' total holdings of euro-area general government securities - MFI from countries less affected by the crisis (FSR 2014),
unit,% (hypothetically euro-based),
unit multiplier,one,
last update,2015-01-07 17:10:04,
1998-01,18.15,
1998-02,18.42,
1998-03,18.83,
1998-04,18.82,
1998-05,20.04,
1998-06,21.35,
1998-07,21.22,
1998-08,20.96,
1998-09,21.00,
1998-10,21.98,
1998-11,23.67,
1998-12,25.30,
1999-01,25.47,
1999-02,25.08,
1999-03,26.87,
1999-04,27.64,
1999-05,28.77,
1999-06,29.34,
1999-07,30.40,
1999-08,31.16,
1999-09,31.97,
1999-10,31.77,
1999-11,32.36,
1999-12,32.76,
2000-01,33.48,
2000-02,34.00,
2000-03,34.47,
2000-04,34.68,
2000-05,35.62,
2000-06,35.30,
2000-07,35.85,
2000-08,35.25,
2000-09,35.52,
2000-10,36.14,
2000-11,35.74,
2000-12,36.66,
2001-01,39.42,
2001-02,40.19,
2001-03,40.82,
2001-04,39.96,
2001-05,40.29,
2001-06,40.13,
2001-07,39.97,
2001-08,40.84,
2001-09,42.01,
2001-10,42.29,
2001-11,41.56,
2001-12,41.93,
2002-01,42.56,
2002-02,42.35,
2002-03,43.15,
2002-04,43.93,
2002-05,43.05,
2002-06,43.50,
2002-07,44.41,
2002-08,44.55,
2002-09,44.86,
2002-10,44.12,
2002-11,44.08,
2002-12,44.59,
2003-01,44.39,
2003-02,44.02,
2003-03,43.62,
2003-04,44.60,
2003-05,44.79,
2003-06,44.43,
2003-07,44.98,
2003-08,44.64,
2003-09,45.06,
2003-10,45.11,
2003-11,44.50,
2003-12,45.41,
2004-01,46.21,
2004-02,46.69,
2004-03,46.58,
2004-04,47.19,
2004-05,47.03,
2004-06,45.97,
2004-07,46.46,
2004-08,46.75,
2004-09,46.20,
2004-10,48.39,
2004-11,48.11,
2004-12,47.53,
2005-01,48.80,
2005-02,48.66,
2005-03,48.14,
2005-04,49.90,
2005-05,50.13,
2005-06,50.16,
2005-07,50.50,
2005-08,50.32,
2005-09,50.66,
2005-10,50.89,
2005-11,52.85,
2005-12,52.38,
2006-01,53.64,
2006-02,53.44,
2006-03,53.28,
2006-04,53.90,
2006-05,53.02,
2006-06,54.08,
2006-07,53.60,
2006-08,54.03,
2006-09,54.29,
2006-10,54.33,
2006-11,53.41,
2006-12,53.22,
2007-01,53.15,
2007-02,52.70,
2007-03,52.28,
2007-04,51.97,
2007-05,52.03,
2007-06,52.00,
2007-07,51.58,
2007-08,51.80,
2007-09,51.62,
2007-10,52.29,
2007-11,52.29,
2007-12,53.36,
2008-01,54.22,
2008-02,52.74,
2008-03,52.73,
2008-04,52.78,
2008-05,52.30,
2008-06,53.51,
2008-07,53.98,
2008-08,54.24,
2008-09,54.50,
2008-10,54.14,
2008-11,54.52,
2008-12,54.39,
2009-01,54.27,
2009-02,53.83,
2009-03,53.66,
2009-04,53.02,
2009-05,53.01,
2009-06,52.75,
2009-07,53.03,
2009-08,52.74,
2009-09,52.57,
2009-10,53.26,
2009-11,52.75,
2009-12,52.69,
2010-01,52.69,
2010-02,52.60,
2010-03,52.48,
2010-04,52.06,
2010-05,50.53,
2010-06,49.30,
2010-07,49.16,
2010-08,48.69,
2010-09,48.48,
2010-10,43.66,
2010-11,45.75,
2010-12,46.59,
2011-01,46.99,
2011-02,46.53,
2011-03,41.06,
2011-04,41.21,
2011-05,41.14,
2011-06,40.49,
2011-07,40.24,
2011-08,39.67,
2011-09,38.41,
2011-10,37.18,
2011-11,35.97,
2011-12,35.85,
2012-01,35.22,
2012-02,33.58,
2012-03,33.09,
2012-04,33.10,
2012-05,34.02,
2012-06,32.57,
2012-07,32.04,
2012-08,31.97,
2012-09,31.69,
2012-10,30.99,
2012-11,31.68,
2012-12,31.60,
2013-01,31.37,
2013-02,30.78,
2013-03,30.93,
2013-04,31.41,
2013-05,32.17,
2013-06,32.16,
2013-07,32.89,
2013-08,33.20,
2013-09,33.19,
2013-10,33.97,
2013-11,34.27,
2013-12,32.64,
2014-01,34.12,
2014-02,34.02,
2014-03,33.55,
2014-04,33.84,
2014-05,34.36,
2014-06,33.67,
2014-07,33.93,
2014-08,34.14,
2014-09,33.81,
"",Source: ECB and Bundesbank calculations,
"","Methodology: Excluding central banks. Austria, Belgium, Germany, France, and Netherlands.",
