"",BBK01.CEFEJ0,BBK01.CEFEJ0_FLAGS
"",short-term loans                                            debtor:  Households                                  creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:32:19,
1999-01,107.4,
1999-04,110.3,
1999-07,110.1,
1999-10,110.4,
2000-01,108.3,
2000-04,111.2,
2000-07,111.5,
2000-10,112.5,
2001-01,109.4,
2001-04,110.7,
2001-07,110.0,
2001-10,109.1,
2002-01,105.5,
2002-04,105.3,
2002-07,105.5,
2002-10,104.8,
2003-01,100.9,
2003-04,100.7,
2003-07,100.5,
2003-10,97.4,
2004-01,92.8,
2004-04,91.8,
2004-07,91.6,
2004-10,89.2,
2005-01,86.2,
2005-04,85.5,
2005-07,85.1,
2005-10,84.1,
2006-01,82.0,
2006-04,81.8,
2006-07,81.6,
2006-10,79.0,
2007-01,77.5,
2007-04,78.2,
2007-07,77.0,
2007-10,78.0,
2008-01,77.2,
2008-04,77.3,
2008-07,77.9,
2008-10,79.0,
2009-01,78.7,
2009-04,78.7,
2009-07,77.4,
2009-10,74.9,
2010-01,74.6,
2010-04,77.2,
2010-07,76.7,
2010-10,74.6,
2011-01,74.0,
2011-04,74.7,
2011-07,73.9,
2011-10,72.8,
2012-01,72.7,
2012-04,73.3,
2012-07,71.8,
2012-10,71.5,
2013-01,69.1,
2013-04,68.8,
2013-07,68.7,
2013-10,66.4,
2014-01,67.2,
2014-04,67.7,
2014-07,66.5,
