"",BBAI3.Q.DE.N.V.LE.F62.LV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F62.LV.A1.S.1.N.E.Z_FLAGS
"",Assets / Life insurance companies / Prepayments of insurance premiums and res. for outstanding claims / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:30,
2005-10,28050,
2006-01,27516,
2006-04,27004,
2006-07,26512,
2006-10,26041,
2007-01,25278,
2007-04,24548,
2007-07,23847,
2007-10,23177,
2008-01,22663,
2008-04,22160,
2008-07,21669,
2008-10,21189,
2009-01,20514,
2009-04,19878,
2009-07,19279,
2009-10,18716,
2010-01,18736,
2010-04,18762,
2010-07,18792,
2010-10,18828,
2011-01,18570,
2011-04,18316,
2011-07,18066,
2011-10,17819,
2012-01,17864,
2012-04,17910,
2012-07,17958,
2012-10,18008,
2013-01,17922,
2013-04,17836,
2013-07,17752,
2013-10,17668,
2014-01,17877,
2014-04,17984,
2014-07,18082,
