"",BBAI3.Q.DE.N.V.LE.F34.LV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F34.LV.A1.S.1.N.E.Z_FLAGS
"",Assets / Life insurance companies / Financial derivatives / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:27,
2005-10,0,
2006-01,0,
2006-04,0,
2006-07,0,
2006-10,0,
2007-01,0,
2007-04,0,
2007-07,0,
2007-10,0,
2008-01,0,
2008-04,0,
2008-07,0,
2008-10,0,
2009-01,2165,
2009-04,2238,
2009-07,2130,
2009-10,2161,
2010-01,2176,
2010-04,2209,
2010-07,2385,
2010-10,2246,
2011-01,2153,
2011-04,2466,
2011-07,2625,
2011-10,2572,
2012-01,2955,
2012-04,3019,
2012-07,3108,
2012-10,3023,
2013-01,3058,
2013-04,3531,
2013-07,3620,
2013-10,2965,
2014-01,3092,
2014-04,3083,
2014-07,3317,
