"",BBK01.CEHP0B,BBK01.CEHP0B_FLAGS
"",Time deposits debtor: All sectors                    creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:20:19,
1991-01,5.5,
1991-04,1.7,
1991-07,2.3,
1991-10,0.6,
1992-01,5.9,
1992-04,1.0,
1992-07,0.9,
1992-10,1.6,
1993-01,7.2,
1993-04,2.4,
1993-07,3.5,
1993-10,4.5,
1994-01,11.1,
1994-04,5.5,
1994-07,6.7,
1994-10,3.6,
1995-01,11.6,
1995-04,6.0,
1995-07,6.8,
1995-10,4.1,
1996-01,12.8,
1996-04,9.0,
1996-07,7.0,
1996-10,-0.1,
1997-01,10.4,
1997-04,4.6,
1997-07,2.5,
1997-10,2.8,
1998-01,10.6,
1998-04,1.6,
1998-07,3.6,
1998-10,-0.8,
1999-01,8.7,
1999-04,1.6,
1999-07,8.0,
1999-10,8.6,
2000-01,12.1,
2000-04,3.0,
2000-07,0.8,
2000-10,3.4,
2001-01,6.2,
2001-04,3.3,
2001-07,3.6,
2001-10,2.8,
2002-01,4.2,
2002-04,-0.1,
2002-07,3.0,
2002-10,7.1,
2003-01,8.0,
2003-04,0.3,
2003-07,5.6,
2003-10,2.5,
2004-01,11.2,
2004-04,8.5,
2004-07,7.6,
2004-10,11.2,
2005-01,12.3,
2005-04,0.5,
2005-07,2.3,
2005-10,0.4,
2006-01,8.3,
2006-04,8.8,
2006-07,9.5,
2006-10,5.5,
2007-01,11.5,
2007-04,10.4,
2007-07,6.7,
2007-10,11.8,
2008-01,10.8,
2008-04,3.4,
2008-07,-0.6,
2008-10,0.5,
2009-01,11.3,
2009-04,0.6,
2009-07,2.8,
2009-10,-3.1,
2010-01,0.3,
2010-04,-6.1,
2010-07,-3.7,
2010-10,-2.6,
2011-01,3.8,
2011-04,0.7,
2011-07,2.0,
2011-10,-5.5,
2012-01,-2.6,
2012-04,-4.6,
2012-07,-0.6,
2012-10,-7.8,
2013-01,-2.4,
2013-04,-2.2,
2013-07,-8.5,
2013-10,-3.4,
2014-01,-5.4,
