"",BBK01.CEL00K,BBK01.CEL00K_FLAGS
"",Total                                                         debtor: Total            creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:50:10,
1999-01,26.7,
1999-04,11.3,
1999-07,13.8,
1999-10,25.5,
2000-01,29.8,
2000-04,15.9,
2000-07,12.6,
2000-10,4.5,
2001-01,23.2,
2001-04,13.0,
2001-07,16.3,
2001-10,49.4,
2002-01,43.1,
2002-04,17.2,
2002-07,17.3,
2002-10,17.8,
2003-01,15.0,
2003-04,13.8,
2003-07,8.2,
2003-10,40.7,
2004-01,21.2,
2004-04,4.0,
2004-07,7.2,
2004-10,8.4,
2005-01,26.7,
2005-04,6.2,
2005-07,12.6,
2005-10,25.8,
2006-01,11.4,
2006-04,16.5,
2006-07,6.9,
2006-10,8.0,
2007-01,13.3,
2007-04,13.0,
2007-07,12.6,
2007-10,14.8,
2008-01,7.3,
2008-04,-0.5,
2008-07,11.3,
2008-10,4.8,
2009-01,19.6,
2009-04,-3.0,
2009-07,0.0,
2009-10,1.5,
2010-01,30.1,
2010-04,6.4,
2010-07,10.5,
2010-10,19.2,
2011-01,21.2,
2011-04,19.7,
2011-07,9.6,
2011-10,9.2,
2012-01,34.5,
2012-04,7.9,
2012-07,14.3,
2012-10,28.3,
2013-01,25.1,
2013-04,3.1,
2013-07,10.5,
2013-10,13.8,
2014-01,31.1,
2014-04,14.0,
2014-07,3.5,
