"",BBK01.CEL4K0,BBK01.CEL4K0_FLAGS
"",Loans                                                           debtor: Insurance corporations                creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:50:16,
1999-01,1.2,
1999-04,1.9,
1999-07,1.2,
1999-10,1.1,
2000-01,1.4,
2000-04,1.6,
2000-07,1.3,
2000-10,-0.4,
2001-01,2.4,
2001-04,1.5,
2001-07,3.3,
2001-10,2.9,
2002-01,2.1,
2002-04,1.6,
2002-07,3.3,
2002-10,3.4,
2003-01,2.5,
2003-04,4.2,
2003-07,0.5,
2003-10,0.1,
2004-01,2.3,
2004-04,-0.6,
2004-07,0.4,
2004-10,2.9,
2005-01,-3.4,
2005-04,-2.9,
2005-07,-0.8,
2005-10,-3.8,
2006-01,1.9,
2006-04,0.0,
2006-07,0.8,
2006-10,1.5,
2007-01,-0.3,
2007-04,2.5,
2007-07,1.6,
2007-10,-5.9,
2008-01,-0.7,
2008-04,-1.6,
2008-07,-0.1,
2008-10,-6.9,
2009-01,-1.3,
2009-04,-1.8,
2009-07,-1.3,
2009-10,-1.0,
2010-01,1.8,
2010-04,0.2,
2010-07,1.6,
2010-10,-1.0,
2011-01,-2.5,
2011-04,-0.6,
2011-07,0.4,
2011-10,0.6,
2012-01,0.8,
2012-04,1.7,
2012-07,0.3,
2012-10,0.7,
2013-01,-0.5,
2013-04,-0.9,
2013-07,-3.5,
2013-10,2.8,
2014-01,1.0,
2014-04,-0.2,
2014-07,1.7,
