"",BBK01.CEL4J0,BBK01.CEL4J0_FLAGS
"",Loans                                             debtor:  Households                                   creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:45:54,
1999-01,14.7,
1999-04,28.4,
1999-07,17.2,
1999-10,21.6,
2000-01,2.0,
2000-04,18.1,
2000-07,11.4,
2000-10,12.9,
2001-01,-0.3,
2001-04,5.4,
2001-07,10.5,
2001-10,5.2,
2002-01,-3.7,
2002-04,2.0,
2002-07,7.6,
2002-10,9.0,
2003-01,-3.6,
2003-04,7.1,
2003-07,9.5,
2003-10,4.1,
2004-01,-11.2,
2004-04,5.2,
2004-07,8.1,
2004-10,-2.6,
2005-01,-13.4,
2005-04,4.4,
2005-07,3.0,
2005-10,0.6,
2006-01,-7.9,
2006-04,1.5,
2006-07,5.3,
2006-10,-4.1,
2007-01,-9.8,
2007-04,-1.6,
2007-07,-3.1,
2007-10,-5.5,
2008-01,-9.4,
2008-04,1.1,
2008-07,-0.9,
2008-10,-5.7,
2009-01,-8.2,
2009-04,2.2,
2009-07,3.3,
2009-10,-3.0,
2010-01,-6.8,
2010-04,5.9,
2010-07,5.2,
2010-10,0.7,
2011-01,-4.0,
2011-04,4.8,
2011-07,6.9,
2011-10,3.8,
2012-01,-1.3,
2012-04,6.8,
2012-07,6.1,
2012-10,4.1,
2013-01,-3.7,
2013-04,5.7,
2013-07,8.7,
2013-10,0.5,
2014-01,0.4,
2014-04,5.9,
2014-07,9.4,
