"",BBAI3.Q.DE.N.V.LE.F61.EV.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F61.EV.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Primary insurance companies / Net equity of households in life insurance and pension funds reserves / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:29:07,
2005-10,751317,
2006-01,762854,
2006-04,773923,
2006-07,782761,
2006-10,792024,
2007-01,805142,
2007-04,815480,
2007-07,825219,
2007-10,831695,
2008-01,839355,
2008-04,845255,
2008-07,849061,
2008-10,841286,
2009-01,854752,
2009-04,868278,
2009-07,879568,
2009-10,887843,
2010-01,908818,
2010-04,922804,
2010-07,930111,
2010-10,937255,
2011-01,950148,
2011-04,957097,
2011-07,962284,
2011-10,960123,
2012-01,975902,
2012-04,987129,
2012-07,998936,
2012-10,1009192,
2013-01,1029010,
2013-04,1040987,
2013-07,1050628,
2013-10,1061442,
2014-01,1079437,
2014-04,1091139,
2014-07,1099942,
