"",BBAI3.Q.DE.N.V.LE.F332B.S1251.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F332B.S1251.A1.S.1.N.E.Z_FLAGS
"",Assets / Insurance corporations (ICs) / Securities other than shares excluding financial derivatives over 2 years / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:35,
2005-10,122304,
2006-01,124200,
2006-04,124467,
2006-07,128138,
2006-10,122266,
2007-01,127770,
2007-04,123934,
2007-07,125626,
2007-10,122489,
2008-01,119202,
2008-04,116250,
2008-07,118417,
2008-10,125573,
2009-01,120511,
2009-04,126782,
2009-07,132434,
2009-10,135640,
2010-01,151256,
2010-04,158652,
2010-07,160781,
2010-10,159524,
2011-01,163814,
2011-04,168600,
2011-07,172154,
2011-10,180118,
2012-01,197517,
2012-04,206965,
2012-07,221143,
2012-10,233398,
2013-01,247686,
2013-04,248979,
2013-07,253152,
2013-10,262145,
2014-01,277123,
2014-04,292663,
2014-07,306122,
