"",BBAI3.Q.DE.N.V.LE.F332B.KV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F332B.KV.A1.S.1.N.E.Z_FLAGS
"",Assets / Health insurance companies / Securities other than shares excluding financial derivatives over 2 years / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:35,
2005-10,7818,
2006-01,8235,
2006-04,7742,
2006-07,8130,
2006-10,7477,
2007-01,8266,
2007-04,7926,
2007-07,8641,
2007-10,8377,
2008-01,7591,
2008-04,7942,
2008-07,8172,
2008-10,9769,
2009-01,9756,
2009-04,10751,
2009-07,11405,
2009-10,12840,
2010-01,15061,
2010-04,16268,
2010-07,17090,
2010-10,17658,
2011-01,18621,
2011-04,19583,
2011-07,20240,
2011-10,21706,
2012-01,25310,
2012-04,27218,
2012-07,29922,
2012-10,31824,
2013-01,34541,
2013-04,36414,
2013-07,38100,
2013-10,40915,
2014-01,43775,
2014-04,47466,
2014-07,51289,
