"",BBAI3.Q.DE.N.V.LE.F331.EV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F331.EV.A1.S.1.N.E.Z_FLAGS
"",Assets / Primary insurance companies / Securities other than shares excluding financial derivatives up to 1 year / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:18,
2005-10,2049,
2006-01,631,
2006-04,638,
2006-07,739,
2006-10,1058,
2007-01,1853,
2007-04,2222,
2007-07,1076,
2007-10,1747,
2008-01,2012,
2008-04,1536,
2008-07,1510,
2008-10,2065,
2009-01,1388,
2009-04,1549,
2009-07,1028,
2009-10,1563,
2010-01,1242,
2010-04,1660,
2010-07,1721,
2010-10,2347,
2011-01,1341,
2011-04,1290,
2011-07,2069,
2011-10,1639,
2012-01,1992,
2012-04,2244,
2012-07,2866,
2012-10,2751,
2013-01,3008,
2013-04,2181,
2013-07,2097,
2013-10,2202,
2014-01,2597,
2014-04,2038,
2014-07,1871,
