"",BBK01.CELB20,BBK01.CELB20_FLAGS
"",long-term debt securities                         debtor: Domestic financial sectors     creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:47:56,
1999-01,58.5,
1999-04,40.1,
1999-07,34.9,
1999-10,2.5,
2000-01,26.9,
2000-04,40.7,
2000-07,41.6,
2000-10,-2.4,
2001-01,44.8,
2001-04,21.2,
2001-07,9.4,
2001-10,13.0,
2002-01,28.0,
2002-04,-3.2,
2002-07,-5.0,
2002-10,-25.9,
2003-01,-4.8,
2003-04,2.3,
2003-07,19.7,
2003-10,-0.7,
2004-01,46.4,
2004-04,20.3,
2004-07,24.0,
2004-10,-21.3,
2005-01,32.1,
2005-04,51.5,
2005-07,-7.1,
2005-10,-17.3,
2006-01,20.2,
2006-04,1.3,
2006-07,2.6,
2006-10,1.3,
2007-01,19.9,
2007-04,16.7,
2007-07,-20.5,
2007-10,-23.1,
2008-01,-17.5,
2008-04,22.5,
2008-07,27.0,
2008-10,-22.9,
2009-01,26.2,
2009-04,4.8,
2009-07,-22.2,
2009-10,-50.5,
2010-01,5.7,
2010-04,-10.5,
2010-07,-51.8,
2010-10,-5.2,
2011-01,-16.9,
2011-04,-4.5,
2011-07,-17.0,
2011-10,-22.7,
2012-01,-46.4,
2012-04,-13.6,
2012-07,-20.9,
2012-10,-41.7,
2013-01,-30.8,
2013-04,-43.0,
2013-07,-29.7,
2013-10,-25.5,
2014-01,-26.0,
2014-04,-7.8,
2014-07,2.5,
