"",BBAI3.Q.DE.N.V.LE.F4.KV.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F4.KV.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Health insurance companies / Loans / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:29:19,
2005-10,1666,
2006-01,1612,
2006-04,1571,
2006-07,1517,
2006-10,1498,
2007-01,1536,
2007-04,1580,
2007-07,1617,
2007-10,1667,
2008-01,1652,
2008-04,1640,
2008-07,1621,
2008-10,1593,
2009-01,1667,
2009-04,1756,
2009-07,1837,
2009-10,1981,
2010-01,2001,
2010-04,2024,
2010-07,2036,
2010-10,2025,
2011-01,2021,
2011-04,2012,
2011-07,1990,
2011-10,1969,
2012-01,1971,
2012-04,1967,
2012-07,1949,
2012-10,1942,
2013-01,1126,
2013-04,1001,
2013-07,991,
2013-10,1009,
2014-01,1029,
2014-04,1046,
2014-07,1056,
