"",BBFN1.M.DE.N.1.A.GB.S1P.F0.S.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.GB.S1P.F0.S.B000.Z01.BGA.X001.D_FLAGS
1977-01,0.204,
1977-02,0.195,
1977-03,0.267,
1977-04,0.320,
1977-05,0.363,
1977-06,0.333,
1977-07,0.288,
1977-08,0.236,
1977-09,0.145,
1977-10,0.131,
1977-11,0.111,
1977-12,0.171,
1978-01,0.159,
1978-02,0.190,
1978-03,0.190,
1978-04,0.108,
1978-05,0.144,
1978-06,0.141,
1978-07,0.149,
1978-08,0.112,
1978-09,0.097,
1978-10,0.080,
1978-11,0.051,
1978-12,0.093,
1979-01,0.126,
1979-02,0.095,
1979-03,0.153,
1979-04,0.217,
1979-05,0.408,
1979-06,0.271,
1979-07,0.377,
1979-08,0.529,
1979-09,0.250,
1979-10,0.216,
1979-11,0.171,
1979-12,0.131,
1980-01,0.115,
1980-02,0.115,
1980-03,0.173,
1980-04,0.206,
1980-05,0.230,
1980-06,0.200,
1980-07,0.226,
1980-08,0.208,
1980-09,0.191,
1980-10,0.224,
1980-11,0.340,
1980-12,0.639,
1981-01,0.524,
1981-02,0.599,
1981-03,0.569,
1981-04,0.601,
1981-05,0.687,
1981-06,0.720,
1981-07,0.721,
1981-08,0.628,
1981-09,0.587,
1981-10,0.824,
1981-11,0.635,
1981-12,0.596,
1982-01,0.897,
1982-02,0.821,
1982-03,1.158,
1982-04,1.224,
1982-05,1.083,
1982-06,1.017,
1982-07,0.918,
1982-08,0.744,
1982-09,0.552,
1982-10,0.557,
1982-11,0.635,
1982-12,0.596,
1983-01,0.866,
1983-02,0.656,
1983-03,0.547,
1983-04,0.659,
1983-05,0.862,
1983-06,0.876,
1983-07,0.791,
1983-08,0.776,
1983-09,0.787,
1983-10,0.772,
1983-11,0.770,
1983-12,0.545,
1984-01,1.163,
1984-02,1.088,
1984-03,1.250,
1984-04,1.512,
1984-05,1.678,
1984-06,1.077,
1984-07,1.212,
1984-08,1.266,
1984-09,1.323,
1984-10,1.793,
1984-11,2.004,
1984-12,1.188,
1985-01,1.804,
1985-02,2.098,
1985-03,2.155,
1985-04,2.797,
1985-05,2.793,
1985-06,2.847,
1985-07,2.994,
1985-08,2.926,
1985-09,2.710,
1985-10,3.875,
1985-11,3.163,
1985-12,2.308,
1986-01,4.339,
1986-02,4.758,
1986-03,7.127,
1986-04,9.074,
1986-05,8.793,
1986-06,8.081,
1986-07,8.810,
1986-08,8.524,
1986-09,8.286,
1986-10,9.361,
1986-11,9.602,
1986-12,7.363,
1987-01,9.355,
1987-02,9.035,
1987-03,9.344,
1987-04,9.935,
1987-05,9.203,
1987-06,9.008,
1987-07,9.902,
1987-08,10.080,
1987-09,9.229,
1987-10,10.298,
1987-11,9.600,
1987-12,8.403,
1988-01,10.661,
1988-02,10.020,
1988-03,10.503,
1988-04,9.975,
1988-05,10.669,
1988-06,10.124,
1988-07,10.195,
1988-08,10.025,
1988-09,9.610,
1988-10,9.824,
1988-11,9.285,
1988-12,7.984,
1989-01,11.616,
1989-02,12.554,
1989-03,12.637,
1989-04,13.194,
1989-05,13.763,
1989-06,14.040,
1989-07,13.823,
1989-08,13.994,
1989-09,12.831,
1989-10,14.807,
1989-11,15.558,
1989-12,12.810,
1990-01,16.596,
1990-02,17.706,
1990-03,18.718,
1990-04,19.199,
1990-05,18.548,
1990-06,18.763,
1990-07,20.324,
1990-08,19.356,
1990-09,19.027,
1990-10,20.319,
1990-11,19.985,
1990-12,19.382,
1991-01,20.947,
1991-02,21.812,
1991-03,21.974,
1991-04,22.578,
1991-05,21.904,
1991-06,20.513,
1991-07,22.596,
1991-08,20.545,
1991-09,20.022,
1991-10,22.054,
1991-11,21.784,
1991-12,19.887,
1992-01,22.427,
1992-02,22.772,
1992-03,22.106,
1992-04,23.261,
1992-05,22.713,
1992-06,23.123,
1992-07,21.964,
1992-08,21.116,
1992-09,22.296,
1992-10,26.130,
1992-11,26.108,
1992-12,24.912,
1993-01,29.038,
1993-02,31.240,
1993-03,29.498,
1993-04,31.517,
1993-05,30.519,
1993-06,31.686,
1993-07,34.025,
1993-08,31.619,
1993-09,33.509,
1993-10,37.059,
1993-11,37.244,
1993-12,32.921,
1994-01,39.485,
1994-02,36.305,
1994-03,36.461,
1994-04,36.196,
1994-05,36.367,
1994-06,36.370,
1994-07,37.450,
1994-08,36.392,
1994-09,35.511,
1994-10,37.431,
1994-11,39.197,
1994-12,36.801,
1995-01,40.096,
1995-02,39.607,
1995-03,38.842,
1995-04,40.286,
1995-05,39.464,
1995-06,39.737,
1995-07,40.809,
1995-08,37.207,
1995-09,39.449,
1995-10,38.185,
1995-11,38.335,
1995-12,33.181,
1996-01,37.995,
1996-02,36.296,
1996-03,34.756,
1996-04,38.726,
1996-05,39.136,
1996-06,36.920,
1996-07,37.208,
1996-08,36.405,
1996-09,34.100,
1996-10,36.937,
1996-11,37.316,
1996-12,33.147,
1997-01,37.950,
1997-02,39.465,
1997-03,38.313,
1997-04,41.738,
1997-05,39.478,
1997-06,37.292,
1997-07,38.259,
1997-08,36.854,
1997-09,37.664,
1997-10,39.975,
1997-11,37.918,
1997-12,32.170,
1998-01,41.620,
1998-02,44.608,
1998-03,44.355,
1998-04,46.887,
1998-05,44.933,
1998-06,42.079,
1998-07,45.018,
1998-08,41.535,
1998-09,43.009,
1998-10,45.793,
1998-11,39.340,
1998-12,31.070,
1999-01,28.225,
1999-02,31.185,
1999-03,29.584,
1999-04,29.669,
1999-05,29.343,
1999-06,29.210,
1999-07,29.514,
1999-08,28.360,
1999-09,28.567,
1999-10,27.572,
1999-11,26.451,
1999-12,20.836,
2000-01,24.961,
2000-02,28.112,
2000-03,32.711,
2000-04,30.224,
2000-05,26.091,
2000-06,24.695,
2000-07,28.617,
2000-08,28.253,
2000-09,22.265,
2000-10,22.892,
2000-11,21.189,
2000-12,16.190,
2001-01,20.540,
2001-02,24.586,
2001-03,21.807,
2001-04,24.900,
2001-05,22.922,
2001-06,22.054,
2001-07,25.193,
2001-08,23.788,
2001-09,22.525,
2001-10,24.537,
2001-11,25.008,
2001-12,23.577,
2002-01,27.779,
2002-02,28.182,
2002-03,27.958,
2002-04,32.580,
2002-05,29.902,
2002-06,24.986,
2002-07,29.445,
2002-08,29.750,
2002-09,29.118,
2002-10,31.360,
2002-11,33.162,
2002-12,26.094,
2003-01,33.207,
2003-02,37.195,
2003-03,37.192,
2003-04,39.959,
2003-05,39.349,
2003-06,38.102,
2003-07,42.999,
2003-08,39.977,
2003-09,37.299,
2003-10,40.765,
2003-11,37.071,
2003-12,34.480,
2004-01,40.500,
2004-02,39.644,
2004-03,38.992,
2004-04,39.603,
2004-05,36.937,
2004-06,36.689,
2004-07,38.051,
2004-08,37.011,
2004-09,37.698,
2004-10,38.934,
2004-11,38.713,
2004-12,34.456,
2005-01,40.044,
2005-02,40.691,
2005-03,42.839,
2005-04,37.874,
2005-05,38.223,
2005-06,35.964,
2005-07,36.090,
2005-08,32.314,
2005-09,36.995,
2005-10,34.573,
2005-11,36.562,
2005-12,30.514,
2006-01,35.330,
2006-02,34.780,
2006-03,35.314,
2006-04,32.859,
2006-05,34.258,
2006-06,35.288,
2006-07,32.970,
2006-08,32.651,
2006-09,36.141,
2006-10,36.778,
2006-11,37.000,
2006-12,28.335,
2007-01,36.755,
2007-02,40.764,
2007-03,39.602,
2007-04,38.930,
2007-05,35.645,
2007-06,34.210,
2007-07,34.917,
2007-08,35.752,
2007-09,35.633,
2007-10,43.694,
2007-11,37.480,
2007-12,31.314,
2008-01,42.634,
2008-02,37.793,
2008-03,37.267,
2008-04,39.340,
2008-05,34.363,
2008-06,32.009,
2008-07,32.388,
2008-08,31.056,
2008-09,31.073,
2008-10,30.946,
2008-11,30.150,
2008-12,28.477,
2009-01,34.439,
2009-02,33.834,
2009-03,39.159,
2009-04,39.832,
2009-05,35.460,
2009-06,36.540,
2009-07,35.699,
2009-08,36.165,
2009-09,35.070,
2009-10,35.002,
2009-11,32.736,
2009-12,31.261,
2010-01,29.611,
2010-02,31.560,
2010-03,34.402,
2010-04,34.662,
2010-05,32.329,
2010-06,29.024,
2010-07,39.352,
2010-08,38.536,
2010-09,42.681,
2010-10,41.658,
2010-11,39.668,
2010-12,32.739,
2011-01,38.743,
2011-02,38.905,
2011-03,34.644,
2011-04,35.146,
2011-05,35.267,
2011-06,37.987,
2011-07,37.654,
2011-08,41.562,
2011-09,37.709,
2011-10,42.939,
2011-11,40.158,
2011-12,37.316,
2012-01,38.215,
2012-02,38.834,
2012-03,45.487,
2012-04,42.327,
2012-05,42.370,
2012-06,47.397,
2012-07,50.129,
2012-08,45.593,
2012-09,46.331,
2012-10,47.102,
2012-11,47.924,
2012-12,41.019,
2013-01,47.518,
2013-02,46.038,
2013-03,45.505,
2013-04,44.208,
2013-05,41.785,
2013-06,40.251,
2013-07,38.113,
2013-08,36.497,
2013-09,40.250,
2013-10,46.387,
2013-11,44.744,
2013-12,42.164,
2014-01,46.066,
2014-02,42.050,
2014-03,47.435,
2014-04,45.178,
2014-05,49.730,
2014-06,39.521,
2014-07,41.432,
2014-08,41.521,
2014-09,41.324,
2014-10,41.082,
2014-11,37.224,
2014-12,29.090,
"","General: Up to December 2002, including Guernsey, Jersey and the Isle of Man.",
