"",BBFN1.M.DE.N.1.A.SI.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.SI.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
1992-01,0.000,
1992-02,0.000,
1992-03,0.000,
1992-04,0.000,
1992-05,0.000,
1992-06,0.000,
1992-07,0.000,
1992-08,0.000,
1992-09,0.000,
1992-10,0.000,
1992-11,0.000,
1992-12,0.000,
1993-01,0.010,
1993-02,0.010,
1993-03,0.010,
1993-04,0.010,
1993-05,0.010,
1993-06,0.010,
1993-07,0.010,
1993-08,0.010,
1993-09,0.012,
1993-10,0.012,
1993-11,0.013,
1993-12,0.013,
1994-01,0.015,
1994-02,0.015,
1994-03,0.016,
1994-04,0.016,
1994-05,0.016,
1994-06,0.016,
1994-07,0.017,
1994-08,0.022,
1994-09,0.021,
1994-10,0.021,
1994-11,0.021,
1994-12,0.021,
1995-01,0.011,
1995-02,0.019,
1995-03,0.018,
1995-04,0.022,
1995-05,0.023,
1995-06,0.024,
1995-07,0.031,
1995-08,0.025,
1995-09,0.024,
1995-10,0.022,
1995-11,0.023,
1995-12,0.026,
1996-01,0.026,
1996-02,0.024,
1996-03,0.024,
1996-04,0.020,
1996-05,0.020,
1996-06,0.020,
1996-07,0.021,
1996-08,0.021,
1996-09,0.022,
1996-10,0.020,
1996-11,0.020,
1996-12,0.026,
1997-01,0.026,
1997-02,0.024,
1997-03,0.026,
1997-04,0.025,
1997-05,0.040,
1997-06,0.040,
1997-07,0.040,
1997-08,0.042,
1997-09,0.041,
1997-10,0.044,
1997-11,0.052,
1997-12,0.057,
1998-01,0.059,
1998-02,0.065,
1998-03,0.065,
1998-04,0.062,
1998-05,0.066,
1998-06,0.069,
1998-07,0.073,
1998-08,0.072,
1998-09,0.073,
1998-10,0.073,
1998-11,0.073,
1998-12,0.080,
1999-01,0.086,
1999-02,0.095,
1999-03,0.083,
1999-04,0.092,
1999-05,0.088,
1999-06,0.087,
1999-07,0.091,
1999-08,0.094,
1999-09,0.103,
1999-10,0.106,
1999-11,0.109,
1999-12,0.108,
2000-01,0.130,
2000-02,0.129,
2000-03,0.138,
2000-04,0.138,
2000-05,0.139,
2000-06,0.145,
2000-07,0.148,
2000-08,0.147,
2000-09,0.147,
2000-10,0.151,
2000-11,0.156,
2000-12,0.160,
2001-01,0.158,
2001-02,0.157,
2001-03,0.131,
2001-04,0.135,
2001-05,0.142,
2001-06,0.147,
2001-07,0.143,
2001-08,0.146,
2001-09,0.145,
2001-10,0.143,
2001-11,0.143,
2001-12,0.144,
2002-01,0.144,
2002-02,0.141,
2002-03,0.142,
2002-04,0.141,
2002-05,0.147,
2002-06,0.149,
2002-07,0.147,
2002-08,0.147,
2002-09,0.146,
2002-10,0.143,
2002-11,0.137,
2002-12,0.131,
2003-01,0.132,
2003-02,0.132,
2003-03,0.134,
2003-04,0.135,
2003-05,0.136,
2003-06,0.137,
2003-07,0.139,
2003-08,0.145,
2003-09,0.143,
2003-10,0.154,
2003-11,0.156,
2003-12,0.157,
2004-01,0.159,
2004-02,0.158,
2004-03,0.161,
2004-04,0.161,
2004-05,0.162,
2004-06,0.145,
2004-07,0.110,
2004-08,0.111,
2004-09,0.100,
2004-10,0.101,
2004-11,0.044,
2004-12,0.043,
2005-01,0.043,
2005-02,0.043,
2005-03,0.043,
2005-04,0.043,
2005-05,0.038,
2005-06,0.039,
2005-07,0.039,
2005-08,0.038,
2005-09,0.036,
2005-10,0.035,
2005-11,0.033,
2005-12,0.032,
2006-01,0.032,
2006-02,0.035,
2006-03,0.035,
2006-04,0.036,
2006-05,0.034,
2006-06,0.022,
2006-07,0.020,
2006-08,0.020,
2006-09,0.020,
2006-10,0.019,
2006-11,0.019,
2006-12,0.019,
2007-01,0.020,
2007-02,0.018,
2007-03,0.017,
2007-04,0.020,
2007-05,0.020,
2007-06,0.020,
2007-07,0.021,
2007-08,0.021,
2007-09,0.012,
2007-10,0.013,
2007-11,0.012,
2007-12,0.008,
2008-01,0.007,
2008-02,0.018,
2008-03,0.017,
2008-04,0.019,
2008-05,0.016,
2008-06,0.016,
2008-07,0.016,
2008-08,0.014,
2008-09,0.014,
2008-10,0.014,
2008-11,0.014,
2008-12,0.013,
2009-01,0.013,
2009-02,0.013,
2009-03,0.012,
2009-04,0.038,
2009-05,0.038,
2009-06,0.038,
2009-07,0.036,
2009-08,0.036,
2009-09,0.036,
2009-10,0.035,
2009-11,0.034,
2009-12,0.052,
2010-01,0.081,
2010-02,0.081,
2010-03,0.081,
2010-04,0.081,
2010-05,0.081,
2010-06,0.085,
2010-07,0.095,
2010-08,0.097,
2010-09,0.099,
2010-10,0.099,
2010-11,0.100,
2010-12,0.100,
2011-01,0.103,
2011-02,0.108,
2011-03,0.108,
2011-04,0.108,
2011-05,0.108,
2011-06,0.110,
2011-07,0.115,
2011-08,0.115,
2011-09,0.116,
2011-10,0.116,
2011-11,0.126,
2011-12,0.135,
2012-01,0.126,
2012-02,0.128,
2012-03,0.130,
2012-04,0.130,
2012-05,0.130,
2012-06,0.131,
2012-07,0.119,
2012-08,0.120,
2012-09,0.119,
2012-10,0.123,
2012-11,0.123,
2012-12,0.118,
2013-01,0.119,
2013-02,0.118,
2013-03,0.116,
2013-04,0.110,
2013-05,0.109,
2013-06,0.107,
2013-07,0.109,
2013-08,0.106,
2013-09,0.107,
2013-10,0.106,
2013-11,0.104,
2013-12,0.102,
2014-01,0.103,
2014-02,0.102,
2014-03,0.101,
2014-04,0.101,
2014-05,0.104,
2014-06,0.104,
2014-07,0.105,
2014-08,0.105,
2014-09,0.111,
2014-10,0.111,
2014-11,0.101,
2014-12,0.110,
