"",BBAI3.Q.DE.N.V.LE.F6.SV.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F6.SV.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Property and casualty insurance companies / Insurance technical reserves / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:29:27,
2005-10,112378,
2006-01,117831,
2006-04,117291,
2006-07,118957,
2006-10,118835,
2007-01,124530,
2007-04,122530,
2007-07,122015,
2007-10,120565,
2008-01,125799,
2008-04,124749,
2008-07,124003,
2008-10,121556,
2009-01,127187,
2009-04,124856,
2009-07,123121,
2009-10,123740,
2010-01,129588,
2010-04,126594,
2010-07,123034,
2010-10,122453,
2011-01,127854,
2011-04,126459,
2011-07,125589,
2011-10,125285,
2012-01,129861,
2012-04,129270,
2012-07,128868,
2012-10,129477,
2013-01,136474,
2013-04,136246,
2013-07,135993,
2013-10,137293,
2014-01,145596,
2014-04,143778,
2014-07,142653,
