"",BBAI3.Q.DE.N.V.LE.F52.RV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F52.RV.A1.S.1.N.E.Z_FLAGS
"",Assets / Reinsurance companies / Mutual funds shares / units / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:29:01,
2005-10,18016,
2006-01,17463,
2006-04,16927,
2006-07,16678,
2006-10,16444,
2007-01,16961,
2007-04,17507,
2007-07,13744,
2007-10,10789,
2008-01,15134,
2008-04,21229,
2008-07,21430,
2008-10,21634,
2009-01,21157,
2009-04,20690,
2009-07,21137,
2009-10,21594,
2010-01,22382,
2010-04,23200,
2010-07,23321,
2010-10,23443,
2011-01,23301,
2011-04,23159,
2011-07,24612,
2011-10,26159,
2012-01,26838,
2012-04,27538,
2012-07,27867,
2012-10,28200,
2013-01,27589,
2013-04,26990,
2013-07,27118,
2013-10,27247,
2014-01,28062,
2014-04,28902,
2014-07,29427,
