"",BBAI3.Q.DE.N.V.LE.F51.S1251.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F51.S1251.A1.S.1.N.E.Z_FLAGS
"",Assets / Insurance corporations (ICs) / Shares and other equity / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:37,
2005-10,234179,
2006-01,238457,
2006-04,239114,
2006-07,245463,
2006-10,254157,
2007-01,253763,
2007-04,255026,
2007-07,260041,
2007-10,267082,
2008-01,255858,
2008-04,247509,
2008-07,234602,
2008-10,221420,
2009-01,211590,
2009-04,203488,
2009-07,202674,
2009-10,202742,
2010-01,205695,
2010-04,206560,
2010-07,207929,
2010-10,210711,
2011-01,211583,
2011-04,210750,
2011-07,209460,
2011-10,210361,
2012-01,210257,
2012-04,209038,
2012-07,211307,
2012-10,211379,
2013-01,212540,
2013-04,211863,
2013-07,211333,
2013-10,211096,
2014-01,212213,
2014-04,212906,
2014-07,213290,
