"",BBAI3.Q.DE.N.V.LE.F33.EV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F33.EV.A1.S.1.N.E.Z_FLAGS
"",Assets / Primary insurance companies / Securities other than shares excluding financial derivatives / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:18,
2005-10,86994,
2006-01,87293,
2006-04,87515,
2006-07,87961,
2006-10,80137,
2007-01,88915,
2007-04,83215,
2007-07,83891,
2007-10,83646,
2008-01,81659,
2008-04,79634,
2008-07,79073,
2008-10,85012,
2009-01,81804,
2009-04,89321,
2009-07,94020,
2009-10,97320,
2010-01,110081,
2010-04,115003,
2010-07,116395,
2010-10,114925,
2011-01,118939,
2011-04,124631,
2011-07,129395,
2011-10,134417,
2012-01,151380,
2012-04,159011,
2012-07,172715,
2012-10,179851,
2013-01,194128,
2013-04,196210,
2013-07,199556,
2013-10,206321,
2014-01,220332,
2014-04,232152,
2014-07,244845,
