"",BBAI3.Q.DE.N.V.LE.F52.S1251.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F52.S1251.A1.S.1.N.E.Z_FLAGS
"",Assets / Insurance corporations (ICs) / Mutual funds shares / units / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:38,
2005-10,272014,
2006-01,280446,
2006-04,275764,
2006-07,286592,
2006-10,292735,
2007-01,298131,
2007-04,306769,
2007-07,305776,
2007-10,303978,
2008-01,294771,
2008-04,295840,
2008-07,295306,
2008-10,284333,
2009-01,281145,
2009-04,291317,
2009-07,310547,
2009-10,317639,
2010-01,332662,
2010-04,341227,
2010-07,354990,
2010-10,356490,
2011-01,359611,
2011-04,359610,
2011-07,358883,
2011-10,361379,
2012-01,381271,
2012-04,389936,
2012-07,408588,
2012-10,425109,
2013-01,438162,
2013-04,436050,
2013-07,447168,
2013-10,458161,
2014-01,488365,
2014-04,509003,
2014-07,525959,
