"",BBEX3.M.BRL.EUR.CA.AB.A01,BBEX3.M.BRL.EUR.CA.AB.A01_FLAGS
"",Exchange rates for the euro in Brazil / EUR 1 = BRL ... (selling),
unit,BRL (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:16:19,
1999-01,2.25683,comment
1999-02,2.28006,
1999-03,1.85900,
1999-04,1.75873,
1999-05,1.79989,
1999-06,1.83625,
1999-07,1.91899,
1999-08,2.02730,
1999-09,2.05710,
1999-10,2.06360,
1999-11,1.94310,
1999-12,1.80510,
2000-01,1.75230,
2000-02,1.70890,
2000-03,1.67350,
2000-04,1.65088,
2000-05,1.71567,
2000-06,1.71896,
2000-07,1.64713,
2000-08,1.62236,
2000-09,1.63157,
2000-10,1.62327,
2000-11,1.71296,
2000-12,1.84173,
2001-01,1.84370,
2001-02,1.89153,
2001-03,1.90165,
2001-04,1.94164,
2001-05,2.00134,
2001-06,1.96360,
2001-07,2.13283,
2001-08,2.33061,
2001-09,2.43584,
2001-10,2.44167,
2001-11,2.27064,
2001-12,2.06363,
2002-01,2.08247,
2002-02,2.04419,
2002-03,2.02603,
2002-04,2.12944,
2002-05,2.35975,
2002-06,2.82448,
2002-07,3.35784,
2002-08,2.97362,
2002-09,3.85359,
2002-10,3.61437,
2002-11,3.62195,
2002-12,3.70120,
2003-01,3.79778,
2003-02,3.85374,
2003-03,3.66645,
2003-04,3.23444,
2003-05,3.49879,
2003-06,3.31107,
2003-07,3.33755,
2003-08,3.26093,
2003-09,3.41330,
2003-10,3.30885,
2003-11,3.53928,
2003-12,3.65059,
2004-01,3.66824,
2004-02,3.64496,
2004-03,3.58287,
2004-04,3.53128,
2004-05,3.82066,
2004-06,3.79522,
2004-07,3.64003,
2004-08,3.57780,
2004-09,3.55730,
2004-10,3.65758,
2004-11,3.63421,
2004-12,3.61949,
2005-01,3.42497,
2005-02,3.44035,
2005-03,3.46033,
2005-04,3.26320,
2005-05,2.96201,
2005-06,2.84586,
2005-07,2.89968,
2005-08,2.91491,
2005-09,2.67175,
2005-10,2.70200,
2005-11,2.60249,
2005-12,2.76905,
2006-01,2.69887,
2006-02,2.53569,
2006-03,2.63273,
2006-04,2.63615,
2006-05,2.94786,
2006-06,2.76814,
2006-07,2.77835,
2006-08,2.74002,
2006-09,2.75754,
2006-10,2.73554,
2006-11,2.87404,
2006-12,2.82024,
2007-01,2.76466,
2007-02,2.80344,
2007-03,2.73892,
2007-04,2.77648,
2007-05,2.59572,
2007-06,2.60730,
2007-07,2.56950,
2007-08,2.67519,
2007-09,2.62367,
2007-10,2.52078,
2007-11,2.62043,
2007-12,2.60859,
2008-01,2.61510,
2008-02,2.55685,
2008-03,2.76060,
2008-04,2.63527,
2008-05,2.53502,
2008-06,2.50629,
2008-07,2.44388,
2008-08,2.39848,
2008-09,2.69309,
2008-10,2.69197,
2008-11,2.96234,
2008-12,3.23815,
2009-01,2.96911,
2009-02,3.02116,
2009-03,3.07829,
2009-04,2.88254,
2009-05,2.78935,
2009-06,2.73985,
2009-07,2.67145,
2009-08,2.70100,
2009-09,2.60108,
2009-10,2.57031,
2009-11,2.62621,
2009-12,2.50733,
2010-01,2.60297,
2010-02,2.46694,
2010-03,2.40760,
2010-04,2.30390,
2010-05,2.23650,
2010-06,2.20430,
2010-07,2.29420,
2010-08,2.22610,
2010-09,2.31040,
2010-10,2.36660,
2010-11,2.23640,
2010-12,2.22800,
2011-01,2.29120,
2011-02,2.29160,
2011-03,2.31290,
2011-04,2.33260,
2011-05,2.27330,
2011-06,2.26670,
2011-07,2.23940,
2011-08,2.28640,
2011-09,2.49380,
2011-10,2.36100,
2011-11,2.44160,
2011-12,2.43420,
2012-01,2.28540,
2012-02,2.28660,
2012-03,2.43000,
2012-04,2.50250,
2012-05,2.50020,
2012-06,2.56060,
2012-07,2.52420,
2012-08,2.56200,
2012-09,2.61090,
2012-10,2.63480,
2012-11,2.73940,
2012-12,2.69540,
2013-01,2.69870,
2013-02,2.58320,
2013-03,2.58530,
2013-04,2.63640,
2013-05,2.76760,
2013-06,2.88270,
2013-07,3.04520,
2013-08,3.13080,
2013-09,3.01810,
2013-10,2.99950,
2013-11,3.16260,
2013-12,3.22650,
2014-01,3.27260,
2014-02,3.22310,
2014-03,3.11750,
2014-04,3.10110,
2014-05,3.05380,
2014-06,3.01500,
2014-07,3.03600,
2014-08,2.94530,
2014-09,3.09540,
2014-10,3.05720,
2014-11,3.19140,
2014-12,3.22700,
2015-01,3.00970,
"",General: Multiple exchange rate system in January 1999.,
"","Source: Since April 2000: Banco Central do Brasil, Brasilia. 1999 - March 2000: Dresdner Bank Lateinamerika AG, Hamburg.",
"","Comment on 1999-01: Commercial banks' rate.  Exchange rate used until 31 January 1999:  Commercial banks' rate (taxa comercial): for all foreign exchange transactions not settled at the free market rate.  Free market rate (taxa flutuante): for all unrequited transfers (including pension and remittance payments), for certain services (including the provision of foreign exchange for travel purposes and currency exchange for foreign tourists, also via international credit cards), as well as for certain overdue loan redemptions; also for certain capital transfers by Brazilians based abroad.  Free market rates as at the end of January 1999: EUR 1 = BRL 2.0489 / 2.2766 (buying/selling).  The multiple exchange rate system was standardised on 1 February 1999.",
