"",BBAI3.Q.DE.N.V.LE.F612.SV.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F612.SV.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Property and casualty insurance companies / Net equity of households in pension fund reserves / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:29:28,
2005-10,10440,
2006-01,10966,
2006-04,10932,
2006-07,11098,
2006-10,11094,
2007-01,11758,
2007-04,11699,
2007-07,11780,
2007-10,11769,
2008-01,12381,
2008-04,12378,
2008-07,12405,
2008-10,12259,
2009-01,12838,
2009-04,12614,
2009-07,12452,
2009-10,12528,
2010-01,13257,
2010-04,13087,
2010-07,12853,
2010-10,12925,
2011-01,13549,
2011-04,13453,
2011-07,13412,
2011-10,13391,
2012-01,13908,
2012-04,13834,
2012-07,13783,
2012-10,13843,
2013-01,14447,
2013-04,14282,
2013-07,14118,
2013-10,14085,
2014-01,14970,
2014-04,14786,
2014-07,14673,
