"",BBK01.CEH70I,BBK01.CEH70I_FLAGS
"",Other claims debtor: All sectors                   creditor: Households and non-profit institutions serving households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:21:58,
1991-01,0.8,
1991-04,-0.1,
1991-07,0.9,
1991-10,-0.1,
1992-01,0.6,
1992-04,0.4,
1992-07,0.5,
1992-10,0.2,
1993-01,0.8,
1993-04,0.7,
1993-07,0.5,
1993-10,0.0,
1994-01,0.4,
1994-04,0.8,
1994-07,0.5,
1994-10,0.7,
1995-01,0.4,
1995-04,0.4,
1995-07,0.5,
1995-10,0.5,
1996-01,1.0,
1996-04,0.5,
1996-07,0.5,
1996-10,0.7,
1997-01,1.0,
1997-04,0.5,
1997-07,0.6,
1997-10,0.4,
1998-01,1.6,
1998-04,1.1,
1998-07,1.0,
1998-10,1.2,
1999-01,1.8,
1999-04,1.3,
1999-07,1.3,
1999-10,4.9,
2000-01,0.2,
2000-04,-0.7,
2000-07,-0.7,
2000-10,-2.1,
2001-01,0.7,
2001-04,-0.1,
2001-07,0.6,
2001-10,-2.0,
2002-01,13.1,
2002-04,-1.7,
2002-07,0.3,
2002-10,-1.7,
2003-01,0.5,
2003-04,0.6,
2003-07,0.3,
2003-10,-3.2,
2004-01,0.7,
2004-04,0.0,
2004-07,0.4,
2004-10,0.4,
2005-01,-0.2,
2005-04,0.3,
2005-07,0.9,
2005-10,-8.4,
2006-01,-13.4,
2006-04,-3.4,
2006-07,-4.1,
2006-10,-10.3,
2007-01,10.9,
2007-04,-20.2,
2007-07,-9.3,
2007-10,-41.7,
2008-01,40.3,
2008-04,7.0,
2008-07,6.1,
2008-10,-25.9,
2009-01,15.3,
2009-04,5.9,
2009-07,9.3,
2009-10,-13.4,
2010-01,5.4,
2010-04,-7.6,
2010-07,11.8,
2010-10,-22.3,
2011-01,17.5,
2011-04,0.2,
2011-07,7.0,
2011-10,-7.2,
2012-01,6.1,
2012-04,0.0,
2012-07,-0.1,
2012-10,-3.9,
2013-01,1.3,
2013-04,1.4,
2013-07,8.0,
2013-10,-15.2,
2014-01,7.2,
