"",BBSF2.M.1.S.I1252.GEF01.I.F.ANZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1252.GEF01.I.F.ANZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed funds / Number / Other insurance corporations / Distribution and cumulative funds,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:52:31,
2009-09,104,
2009-10,104,
2009-11,101,
2009-12,96,
2010-01,97,
2010-02,99,
2010-03,101,
2010-04,97,
2010-05,95,
2010-06,89,
2010-07,87,
2010-08,88,
2010-09,89,
2010-10,92,
2010-11,93,
2010-12,91,
2011-01,91,
2011-02,90,
2011-03,88,
2011-04,88,
2011-05,88,
2011-06,87,
2011-07,88,
2011-08,88,
2011-09,90,
2011-10,96,
2011-11,96,
2011-12,95,
2012-01,93,
2012-02,94,
2012-03,95,
2012-04,95,
2012-05,95,
2012-06,100,
2012-07,101,
2012-08,100,
2012-09,100,
2012-10,100,
2012-11,97,
2012-12,92,
2013-01,91,
2013-02,90,
2013-03,90,
2013-04,91,
2013-05,87,
2013-06,86,
2013-07,94,
2013-08,94,
2013-09,95,
2013-10,94,
2013-11,92,
2013-12,88,
2014-01,88,
2014-02,90,
2014-03,88,
2014-04,89,
2014-05,90,
2014-06,90,
2014-07,83,
2014-08,71,
2014-09,71,
2014-10,68,
2014-11,69,
