"",BBAI3.Q.DE.N.V.LE.F332B.EV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F332B.EV.A1.S.1.N.E.Z_FLAGS
"",Assets / Primary insurance companies / Securities other than shares excluding financial derivatives over 2 years / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:19,
2005-10,81597,
2006-01,83246,
2006-04,83809,
2006-07,84800,
2006-10,76807,
2007-01,82862,
2007-04,78054,
2007-07,79887,
2007-10,78378,
2008-01,76837,
2008-04,75358,
2008-07,74932,
2008-10,79834,
2009-01,77539,
2009-04,84776,
2009-07,90031,
2009-10,93312,
2010-01,106175,
2010-04,111046,
2010-07,112435,
2010-10,110506,
2011-01,115484,
2011-04,121428,
2011-07,124587,
2011-10,130198,
2012-01,145756,
2012-04,153544,
2012-07,165814,
2012-10,173823,
2013-01,189856,
2013-04,192907,
2013-07,196121,
2013-10,203273,
2014-01,216768,
2014-04,229127,
2014-07,241972,
