"",BBSF2.M.1.S.00000.TOT01.I.F.AKT.SI.00000.F05100.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.AKT.SI.00000.F05100.Z01.00_FLAGS
"",Special investors funds / Funds total / Shares / Slovenia,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:26,
2009-09,9,
2009-10,9,
2009-11,8,
2009-12,8,
2010-01,7,
2010-02,6,
2010-03,6,
2010-04,6,
2010-05,6,
2010-06,8,
2010-07,7,
2010-08,8,
2010-09,8,
2010-10,8,
2010-11,8,
2010-12,8,
2011-01,9,
2011-02,9,
2011-03,9,
2011-04,9,
2011-05,9,
2011-06,9,
2011-07,9,
2011-08,8,
2011-09,8,
2011-10,8,
2011-11,8,
2011-12,10,
2012-01,10,
2012-02,9,
2012-03,10,
2012-04,9,
2012-05,8,
2012-06,8,
2012-07,6,
2012-08,6,
2012-09,6,
2012-10,6,
2012-11,6,
2012-12,7,
2013-01,7,
2013-02,7,
2013-03,7,
2013-04,7,
2013-05,7,
2013-06,7,
2013-07,8,
2013-08,8,
2013-09,8,
2013-10,8,
2013-11,8,
2013-12,8,
2014-01,8,
2014-02,8,
2014-03,8,
2014-04,8,
2014-05,9,
2014-06,9,
2014-07,9,
2014-08,9,
2014-09,9,
2014-10,9,
2014-11,9,
