"",BBFI1.Q.N.DE.W1.S1V.S1.KA.A.FA.O.F6._Z._T._X.N,BBFI1.Q.N.DE.W1.S1V.S1.KA.A.FA.O.F6._Z._T._X.N_FLAGS
"","IIP - Other Investment - Insurance, pension and standardized guarantee schemes - Assets - Other changes excluding transactions and revaluations - Non financial corporations, households and NPISH - all countries",
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:07:42,
2013-01,1,
2013-04,-1,
2013-07,1,
2013-10,1,
2014-01,-,Nothing exists
2014-04,-,Nothing exists
2014-07,-,Nothing exists
