"",BBAI3.Q.DE.N.V.LE.F2M.LV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F2M.LV.A1.S.1.N.E.Z_FLAGS
"",Assets / Life insurance companies / Deposits / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:24,
2005-10,265808,
2006-01,264117,
2006-04,266767,
2006-07,269714,
2006-10,276399,
2007-01,277051,
2007-04,282311,
2007-07,282940,
2007-10,290971,
2008-01,289985,
2008-04,292470,
2008-07,289906,
2008-10,288670,
2009-01,292855,
2009-04,292838,
2009-07,293952,
2009-10,288477,
2010-01,287217,
2010-04,285662,
2010-07,282139,
2010-10,274467,
2011-01,274691,
2011-04,275779,
2011-07,276678,
2011-10,272380,
2012-01,268767,
2012-04,266049,
2012-07,262924,
2012-10,260657,
2013-01,258350,
2013-04,254067,
2013-07,248802,
2013-10,244307,
2014-01,242950,
2014-04,240498,
2014-07,236608,
