"",BBK01.CEH90B,BBK01.CEH90B_FLAGS
"",Other mutual funds shares\n debtor: All sectors                     creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:20:25,
1991-01,1.2,
1991-04,1.1,
1991-07,1.1,
1991-10,1.2,
1992-01,2.2,
1992-04,1.1,
1992-07,1.3,
1992-10,2.3,
1993-01,0.8,
1993-04,1.7,
1993-07,3.0,
1993-10,4.0,
1994-01,3.9,
1994-04,1.4,
1994-07,1.2,
1994-10,2.1,
1995-01,1.6,
1995-04,1.2,
1995-07,1.4,
1995-10,4.5,
1996-01,5.9,
1996-04,2.6,
1996-07,2.2,
1996-10,6.7,
1997-01,7.0,
1997-04,5.0,
1997-07,4.8,
1997-10,8.8,
1998-01,8.2,
1998-04,6.1,
1998-07,6.6,
1998-10,11.2,
1999-01,8.8,
1999-04,4.2,
1999-07,3.6,
1999-10,11.1,
2000-01,7.6,
2000-04,8.4,
2000-07,5.4,
2000-10,11.3,
2001-01,7.9,
2001-04,1.1,
2001-07,3.8,
2001-10,13.9,
2002-01,7.6,
2002-04,8.9,
2002-07,2.8,
2002-10,6.6,
2003-01,2.6,
2003-04,1.9,
2003-07,1.6,
2003-10,5.8,
2004-01,2.2,
2004-04,-0.6,
2004-07,-5.5,
2004-10,0.5,
2005-01,6.8,
2005-04,3.3,
2005-07,3.4,
2005-10,7.1,
2006-01,9.6,
2006-04,2.3,
2006-07,-3.7,
2006-10,19.4,
2007-01,5.7,
2007-04,3.8,
2007-07,4.6,
2007-10,-3.6,
2008-01,6.4,
2008-04,5.6,
2008-07,6.6,
2008-10,7.4,
2009-01,-1.9,
2009-04,3.4,
2009-07,-3.0,
2009-10,7.7,
2010-01,15.3,
2010-04,10.3,
2010-07,11.7,
2010-10,19.4,
2011-01,9.8,
2011-04,16.4,
2011-07,5.8,
2011-10,19.2,
2012-01,19.9,
2012-04,7.5,
2012-07,0.5,
2012-10,23.0,
2013-01,25.6,
2013-04,11.7,
2013-07,11.3,
2013-10,19.6,
2014-01,17.2,
