"",BBK01.CELP0K,BBK01.CELP0K_FLAGS
"",Time deposits                                                    debtor: Total            creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:49:50,
1999-01,7.5,
1999-04,1.0,
1999-07,6.6,
1999-10,7.1,
2000-01,10.4,
2000-04,2.2,
2000-07,0.6,
2000-10,2.9,
2001-01,5.4,
2001-04,2.5,
2001-07,3.2,
2001-10,2.2,
2002-01,3.6,
2002-04,-0.2,
2002-07,2.7,
2002-10,5.5,
2003-01,7.3,
2003-04,0.3,
2003-07,4.5,
2003-10,1.6,
2004-01,10.0,
2004-04,6.3,
2004-07,6.5,
2004-10,8.6,
2005-01,10.9,
2005-04,-0.2,
2005-07,1.5,
2005-10,-1.0,
2006-01,7.9,
2006-04,7.3,
2006-07,7.5,
2006-10,2.0,
2007-01,11.6,
2007-04,8.5,
2007-07,5.1,
2007-10,9.3,
2008-01,9.6,
2008-04,2.2,
2008-07,-0.4,
2008-10,0.0,
2009-01,9.1,
2009-04,0.8,
2009-07,2.5,
2009-10,-1.8,
2010-01,1.1,
2010-04,-4.2,
2010-07,-2.3,
2010-10,-1.8,
2011-01,3.8,
2011-04,1.2,
2011-07,2.0,
2011-10,-3.8,
2012-01,-1.0,
2012-04,-3.1,
2012-07,0.2,
2012-10,-5.7,
2013-01,-6.4,
2013-04,-1.7,
2013-07,-6.6,
2013-10,-2.9,
2014-01,-3.8,
2014-04,-2.1,
2014-07,-5.0,
