"",BBNZ1.Q.DE.Y.G.0018.L,BBNZ1.Q.DE.Y.G.0018.L_FLAGS
"","Germany / National accounts / Overall economy / Labour costs per employee 1, 2, 3 / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-25 17:42:48,
1970-01,20.27,
1970-04,21.48,
1970-07,21.76,
1970-10,22.11,
1971-01,23.14,
1971-04,23.73,
1971-07,24.36,
1971-10,24.31,
1972-01,25.47,
1972-04,25.91,
1972-07,26.44,
1972-10,26.85,
1973-01,28.48,
1973-04,28.85,
1973-07,29.50,
1973-10,30.16,
1974-01,31.12,
1974-04,32.24,
1974-07,33.09,
1974-10,33.67,
1975-01,33.87,
1975-04,34.48,
1975-07,35.12,
1975-10,35.66,
1976-01,36.39,
1976-04,37.23,
1976-07,37.86,
1976-10,38.47,
1977-01,39.03,
1977-04,39.79,
1977-07,40.10,
1977-10,40.72,
1978-01,41.08,
1978-04,41.86,
1978-07,42.34,
1978-10,42.83,
1979-01,43.52,
1979-04,44.07,
1979-07,44.66,
1979-10,45.34,
1980-01,46.35,
1980-04,47.14,
1980-07,47.75,
1980-10,48.15,
1981-01,48.19,
1981-04,49.39,
1981-07,50.12,
1981-10,50.40,
1982-01,50.80,
1982-04,51.17,
1982-07,51.80,
1982-10,52.03,
1983-01,52.29,
1983-04,52.58,
1983-07,53.59,
1983-10,53.76,
1984-01,55.09,
1984-04,53.26,
1984-07,54.52,
1984-10,55.53,
1985-01,55.22,
1985-04,55.55,
1985-07,56.12,
1985-10,56.70,
1986-01,56.79,
1986-04,57.50,
1986-07,58.08,
1986-10,58.31,
1987-01,57.99,
1987-04,59.32,
1987-07,59.69,
1987-10,60.19,
1988-01,60.25,
1988-04,60.45,
1988-07,61.08,
1988-10,61.53,
1989-01,62.13,
1989-04,61.84,
1989-07,62.52,
1989-10,63.03,
1990-01,64.64,
1990-04,64.93,
1990-07,65.16,
1990-10,66.30,
1991-01,65.87,
1991-04,69.30,
1991-07,70.06,
1991-10,71.27,
1992-01,73.59,
1992-04,75.46,
1992-07,77.98,
1992-10,77.88,
1993-01,77.69,
1993-04,79.34,
1993-07,79.85,
1993-10,80.55,
1994-01,81.25,
1994-04,81.18,
1994-07,81.63,
1994-10,82.55,
1995-01,83.38,
1995-04,84.33,
1995-07,84.85,
1995-10,85.36,
1996-01,85.10,
1996-04,84.82,
1996-07,85.63,
1996-10,85.91,
1997-01,85.99,
1997-04,85.75,
1997-07,85.73,
1997-10,86.31,
1998-01,86.41,
1998-04,86.60,
1998-07,86.84,
1998-10,87.06,
1999-01,86.91,
1999-04,88.13,
1999-07,87.85,
1999-10,87.92,
2000-01,88.18,
2000-04,88.57,
2000-07,89.21,
2000-10,89.61,
2001-01,90.07,
2001-04,90.30,
2001-07,90.58,
2001-10,91.35,
2002-01,91.01,
2002-04,91.16,
2002-07,92.08,
2002-10,92.62,
2003-01,92.64,
2003-04,92.85,
2003-07,93.57,
2003-10,93.46,
2004-01,93.45,
2004-04,93.15,
2004-07,93.25,
2004-10,93.32,
2005-01,93.70,
2005-04,93.64,
2005-07,93.43,
2005-10,93.33,
2006-01,94.18,
2006-04,94.28,
2006-07,94.82,
2006-10,94.58,
2007-01,94.86,
2007-04,95.19,
2007-07,95.42,
2007-10,95.70,
2008-01,96.55,
2008-04,97.18,
2008-07,97.48,
2008-10,97.98,
2009-01,97.21,
2009-04,97.08,
2009-07,97.71,
2009-10,98.00,
2010-01,99.20,
2010-04,99.57,
2010-07,100.32,
2010-10,100.91,
2011-01,102.12,
2011-04,102.82,
2011-07,103.06,
2011-10,103.52,
2012-01,104.41,
2012-04,105.49,
2012-07,105.74,
2012-10,106.27,
2013-01,106.39,
2013-04,107.14,
2013-07,107.77,
2013-10,108.50,
2014-01,109.37,
2014-04,109.79,
2014-07,110.45,
2014-10,111.15,
"","General: 1 Source of the original data: Federal Statistical Office. - 2 Territorial definition: Germany as of 1991, prior to that western Germany. Linked over annual average of 1991 (Bundesbank calculation). - 3 Methodology: Figures are chain-linked Laspeyres indices (annual overlap). As of 1970 up to the end of 1990, data basis according to ESA 1995. As of 1991, data basis according to ESA 2010.",
