"",BBAI3.Q.DE.N.V.LE.F612.LV.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F612.LV.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Life insurance companies / Net equity of households in pension fund reserves / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:29:15,
2005-10,0,
2006-01,0,
2006-04,0,
2006-07,0,
2006-10,0,
2007-01,0,
2007-04,0,
2007-07,0,
2007-10,0,
2008-01,0,
2008-04,0,
2008-07,0,
2008-10,0,
2009-01,0,
2009-04,0,
2009-07,0,
2009-10,0,
2010-01,0,
2010-04,0,
2010-07,0,
2010-10,0,
2011-01,0,
2011-04,0,
2011-07,0,
2011-10,0,
2012-01,0,
2012-04,0,
2012-07,0,
2012-10,0,
2013-01,0,
2013-04,0,
2013-07,0,
2013-10,0,
2014-01,0,
2014-04,0,
2014-07,0,
