"",BBAI3.Q.DE.N.V.LE.F42B.S125.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F42B.S125.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Insurance corporations and pension funds (ICPFs) / Loans up to 5 years / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:54,
2005-10,29235,
2006-01,31145,
2006-04,31711,
2006-07,35524,
2006-10,36447,
2007-01,36915,
2007-04,35106,
2007-07,36519,
2007-10,32835,
2008-01,32336,
2008-04,32156,
2008-07,30621,
2008-10,28824,
2009-01,28755,
2009-04,28263,
2009-07,27793,
2009-10,28069,
2010-01,27818,
2010-04,27249,
2010-07,27223,
2010-10,23616,
2011-01,23492,
2011-04,23352,
2011-07,23300,
2011-10,24084,
2012-01,24407,
2012-04,24332,
2012-07,24542,
2012-10,25589,
2013-01,26402,
2013-04,25756,
2013-07,28541,
2013-10,28716,
2014-01,30875,
2014-04,31265,
2014-07,30634,
