"",BBSF2.M.1.P.00000.GEL01.I.F.SVB.Z5.00000.F33200.Z01.M1,BBSF2.M.1.P.00000.GEL01.I.F.SVB.Z5.00000.F33200.Z01.M1_FLAGS
1990-04,-,Nothing exists
1990-05,-,Nothing exists
1990-06,-,Nothing exists
1990-07,-,Nothing exists
1990-08,-,Nothing exists
1990-09,-,Nothing exists
1990-10,-,Nothing exists
1990-11,-,Nothing exists
1990-12,-,Nothing exists
1991-01,-,Nothing exists
1991-02,-,Nothing exists
1991-03,-,Nothing exists
1991-04,-,Nothing exists
1991-05,-,Nothing exists
1991-06,-,Nothing exists
1991-07,-,Nothing exists
1991-08,-,Nothing exists
1991-09,-,Nothing exists
1991-10,-,Nothing exists
1991-11,-,Nothing exists
1991-12,-,Nothing exists
1992-01,-,Nothing exists
1992-02,-,Nothing exists
1992-03,-,Nothing exists
1992-04,-,Nothing exists
1992-05,-,Nothing exists
1992-06,-,Nothing exists
1992-07,-,Nothing exists
1992-08,-,Nothing exists
1992-09,-,Nothing exists
1992-10,-,Nothing exists
1992-11,-,Nothing exists
1992-12,-,Nothing exists
1993-01,-,Nothing exists
1993-02,-,Nothing exists
1993-03,-,Nothing exists
1993-04,-,Nothing exists
1993-05,-,Nothing exists
1993-06,-,Nothing exists
1993-07,-,Nothing exists
1993-08,-,Nothing exists
1993-09,-,Nothing exists
1993-10,-,Nothing exists
1993-11,-,Nothing exists
1993-12,-,Nothing exists
1994-01,-,Nothing exists
1994-02,-,Nothing exists
1994-03,-,Nothing exists
1994-04,-,Nothing exists
1994-05,-,Nothing exists
1994-06,-,Nothing exists
1994-07,-,Nothing exists
1994-08,-,Nothing exists
1994-09,337,
1994-10,805,
1994-11,1331,
1994-12,3311,
1995-01,4105,
1995-02,4698,
1995-03,4899,
1995-04,5144,
1995-05,5213,
1995-06,5702,
1995-07,5911,
1995-08,6246,
1995-09,6469,
1995-10,6567,
1995-11,6615,
1995-12,6898,
1996-01,7708,
1996-02,8290,
1996-03,8621,
1996-04,8923,
1996-05,8951,
1996-06,9112,
1996-07,9249,
1996-08,9303,
1996-09,9354,
1996-10,9073,
1996-11,8974,
1996-12,8527,
1997-01,8792,
1997-02,8473,
1997-03,8453,
1997-04,8627,
1997-05,8835,
1997-06,8320,
1997-07,8547,
1997-08,8804,
1997-09,8909,
1997-10,8817,
1997-11,8845,
1997-12,8515,
1998-01,8596,
1998-02,8654,
1998-03,8767,
1998-04,9177,
1998-05,9552,
1998-06,9647,
1998-07,9931,
1998-08,10199,
1998-09,10479,
1998-10,10462,
1998-11,10336,
1998-12,10507,
1999-01,10643,
1999-02,11119,
1999-03,10915,
1999-04,11107,
1999-05,11676,
1999-06,12623,
1999-07,13224,
1999-08,13386,
1999-09,13842,
1999-10,13885,
1999-11,13908,
1999-12,13361,
2000-01,13774,
2000-02,14416,
2000-03,14822,
2000-04,14899,
2000-05,15002,
2000-06,14744,
2000-07,14877,
2000-08,15047,
2000-09,14778,
2000-10,14395,
2000-11,14303,
2000-12,14057,
2001-01,14190,
2001-02,14398,
2001-03,14953,
2001-04,15336,
2001-05,16031,
2001-06,16465,
2001-07,16783,
2001-08,17746,
2001-09,18443,
2001-10,19739,
2001-11,20756,
2001-12,21926,
2002-01,21417,
2002-02,22387,
2002-03,22510,
2002-04,22915,
2002-05,23018,
2002-06,24283,
2002-07,24281,
2002-08,24787,
2002-09,25746,
2002-10,25658,
2002-11,25816,
2002-12,26013,
2003-01,26329,
2003-02,26802,
2003-03,27549,
2003-04,27311,
2003-05,27215,
2003-06,27595,
2003-07,27043,
2003-08,26549,
2003-09,26090,
2003-10,25848,
2003-11,25302,
2003-12,25060,
2004-01,24575,
2004-02,24556,
2004-03,23870,
2004-04,23950,
2004-05,23985,
2004-06,23776,
2004-07,23759,
2004-08,23603,
2004-09,22205,
2004-10,22135,
2004-11,21927,
2004-12,19791,
2005-01,19998,
2005-02,20613,
2005-03,20989,
2005-04,21194,
2005-05,21730,
2005-06,22183,
2005-07,22144,
2005-08,22348,
2005-09,21702,
2005-10,21987,
2005-11,22496,
2005-12,22750,
2006-01,22867,
2006-02,23270,
2006-03,23535,
2006-04,23618,
2006-05,23467,
2006-06,24251,
2006-07,24049,
2006-08,24031,
2006-09,24657,
2006-10,24895,
2006-11,24649,
2006-12,24604,
2007-01,24554,
2007-02,24549,
2007-03,25033,
2007-04,24846,
2007-05,24755,
2007-06,25153,
2007-07,24914,
2007-08,22254,
2007-09,20159,
2007-10,19488,
2007-11,18523,
2007-12,17780,
2008-01,17435,
2008-02,17497,
2008-03,16251,
2008-04,14764,
2008-05,14095,
2008-06,13575,
2008-07,13298,
2008-08,12995,
2008-09,12233,
2008-10,10539,
2008-11,9768,
2008-12,9202,
2009-01,8709,
2009-02,8547,
2009-03,8360,
2009-04,7898,
2009-05,7865,
2009-06,7569,
2009-07,7636,
2009-08,7643,
2009-09,7187,
2009-10,6945,
2009-11,6907,
2009-12,6985,
2010-01,7148,
2010-02,7141,
2010-03,7160,
2010-04,6784,
2010-05,6594,
2010-06,6341,
2010-07,6359,
2010-08,6071,
2010-09,6024,
2010-10,5808,
2010-11,5909,
2010-12,5910,
2011-01,5919,
2011-02,5757,
2011-03,5584,
2011-04,5570,
2011-05,5523,
2011-06,5327,
2011-07,4354,
2011-08,4644,
2011-09,4605,
2011-10,4486,
2011-11,3701,
2011-12,3655,
2012-01,3425,
2012-02,3258,
2012-03,3214,
2012-04,3245,
2012-05,3349,
2012-06,3364,
2012-07,3354,
2012-08,3385,
2012-09,3271,
2012-10,3287,
2012-11,3265,
2012-12,3280,
2013-01,3046,
2013-02,2956,
2013-03,2835,
2013-04,2761,
2013-05,2713,
2013-06,2954,
2013-07,2971,
2013-08,3007,
2013-09,2925,
2013-10,2829,
2013-11,2789,
2013-12,2749,
2014-01,2867,
2014-02,2827,
2014-03,2596,
2014-04,2623,
2014-05,2670,
2014-06,2546,
2014-07,2468,
2014-08,2302,
2014-09,2299,
2014-10,2259,
2014-11,2189,
