"",BBK01.CELB02,BBK01.CELB02_FLAGS
"",long-term debt securities                         debtor: Total            creditor: Domestic financial sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:47:43,
1999-01,31.3,
1999-04,54.3,
1999-07,34.4,
1999-10,-0.2,
2000-01,57.4,
2000-04,16.3,
2000-07,22.4,
2000-10,-3.5,
2001-01,35.4,
2001-04,36.4,
2001-07,-4.4,
2001-10,19.2,
2002-01,40.4,
2002-04,14.5,
2002-07,-4.5,
2002-10,-11.4,
2003-01,34.9,
2003-04,20.9,
2003-07,26.4,
2003-10,29.9,
2004-01,57.7,
2004-04,44.2,
2004-07,19.2,
2004-10,-3.1,
2005-01,64.0,
2005-04,37.8,
2005-07,-0.7,
2005-10,16.4,
2006-01,25.2,
2006-04,1.7,
2006-07,25.3,
2006-10,9.2,
2007-01,64.2,
2007-04,27.2,
2007-07,-20.6,
2007-10,-5.3,
2008-01,3.3,
2008-04,25.3,
2008-07,4.2,
2008-10,-12.8,
2009-01,75.2,
2009-04,91.5,
2009-07,47.8,
2009-10,3.4,
2010-01,53.7,
2010-04,22.8,
2010-07,-29.2,
2010-10,-16.3,
2011-01,9.6,
2011-04,-0.3,
2011-07,-26.2,
2011-10,-21.8,
2012-01,33.1,
2012-04,30.8,
2012-07,22.7,
2012-10,38.9,
2013-01,1.6,
2013-04,6.5,
2013-07,11.2,
2013-10,17.6,
2014-01,12.3,
2014-04,15.7,
2014-07,17.6,
