"",BBAI3.Q.DE.N.V.LE.T.S125.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.T.S125.A1.S.1.N.E.Z_FLAGS
"",Assets / Insurance corporations and pension funds (ICPFs) / Total assets / liabilities / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:31,
2005-10,1696034,
2006-01,1717642,
2006-04,1718152,
2006-07,1750536,
2006-10,1771494,
2007-01,1794662,
2007-04,1811156,
2007-07,1821065,
2007-10,1838288,
2008-01,1810555,
2008-04,1800277,
2008-07,1785207,
2008-10,1770594,
2009-01,1776328,
2009-04,1792800,
2009-07,1825862,
2009-10,1836779,
2010-01,1884432,
2010-04,1904566,
2010-07,1928045,
2010-10,1961885,
2011-01,1977514,
2011-04,1988172,
2011-07,1999156,
2011-10,2011199,
2012-01,2058324,
2012-04,2077955,
2012-07,2124803,
2012-10,2157172,
2013-01,2196336,
2013-04,2190535,
2013-07,2207708,
2013-10,2236784,
2014-01,2289809,
2014-04,2337063,
2014-07,2370914,
