"",BBK01.CEFX5K,BBK01.CEFX5K_FLAGS
"",Non-life insurance technical reserves  debtor: Insurance corporations                                              creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:36:25,
1999-01,65.0,
1999-04,65.9,
1999-07,67.0,
1999-10,70.0,
2000-01,72.2,
2000-04,73.0,
2000-07,73.9,
2000-10,71.3,
2001-01,73.4,
2001-04,74.3,
2001-07,76.2,
2001-10,83.3,
2002-01,87.2,
2002-04,88.2,
2002-07,89.5,
2002-10,86.6,
2003-01,87.8,
2003-04,89.1,
2003-07,90.0,
2003-10,82.3,
2004-01,83.7,
2004-04,83.9,
2004-07,84.7,
2004-10,82.0,
2005-01,83.8,
2005-04,84.3,
2005-07,85.8,
2005-10,78.6,
2006-01,78.2,
2006-04,77.8,
2006-07,77.4,
2006-10,73.1,
2007-01,72.3,
2007-04,71.5,
2007-07,70.7,
2007-10,68.2,
2008-01,67.0,
2008-04,65.8,
2008-07,64.6,
2008-10,63.4,
2009-01,61.3,
2009-04,59.3,
2009-07,57.3,
2009-10,55.6,
2010-01,55.7,
2010-04,56.0,
2010-07,56.2,
2010-10,56.5,
2011-01,56.9,
2011-04,57.4,
2011-07,57.9,
2011-10,58.4,
2012-01,58.6,
2012-04,58.7,
2012-07,58.8,
2012-10,59.0,
2013-01,57.5,
2013-04,57.9,
2013-07,58.5,
2013-10,59.2,
2014-01,61.1,
2014-04,61.0,
2014-07,60.8,
