"",BBFN1.M.DE.N.1.A.KW.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.KW.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
1990-03,0.006,
1990-04,0.007,
1990-05,0.008,
1990-06,0.009,
1990-07,0.006,
1990-08,0.008,
1990-09,0.003,
1990-10,0.009,
1990-11,0.008,
1990-12,0.008,
1991-01,0.008,
1991-02,0.007,
1991-03,0.007,
1991-04,0.007,
1991-05,0.007,
1991-06,0.009,
1991-07,0.009,
1991-08,0.008,
1991-09,0.003,
1991-10,0.003,
1991-11,0.004,
1991-12,0.002,
1992-01,0.004,
1992-02,0.008,
1992-03,0.003,
1992-04,0.002,
1992-05,0.004,
1992-06,0.004,
1992-07,0.003,
1992-08,0.003,
1992-09,0.004,
1992-10,0.004,
1992-11,0.003,
1992-12,0.004,
1993-01,0.003,
1993-02,0.004,
1993-03,0.003,
1993-04,0.002,
1993-05,0.003,
1993-06,0.003,
1993-07,0.011,
1993-08,0.014,
1993-09,0.003,
1993-10,0.003,
1993-11,0.006,
1993-12,0.007,
1994-01,0.004,
1994-02,0.004,
1994-03,0.005,
1994-04,0.009,
1994-05,0.005,
1994-06,0.007,
1994-07,0.014,
1994-08,0.007,
1994-09,0.003,
1994-10,0.008,
1994-11,0.004,
1994-12,0.003,
1995-01,0.005,
1995-02,0.006,
1995-03,0.006,
1995-04,0.006,
1995-05,0.010,
1995-06,0.011,
1995-07,0.016,
1995-08,0.013,
1995-09,0.017,
1995-10,0.015,
1995-11,0.009,
1995-12,0.009,
1996-01,0.010,
1996-02,0.006,
1996-03,0.012,
1996-04,0.006,
1996-05,0.006,
1996-06,0.006,
1996-07,0.003,
1996-08,0.005,
1996-09,0.008,
1996-10,0.003,
1996-11,0.005,
1996-12,0.008,
1997-01,0.005,
1997-02,0.008,
1997-03,0.004,
1997-04,0.005,
1997-05,0.008,
1997-06,0.006,
1997-07,0.005,
1997-08,0.004,
1997-09,0.004,
1997-10,0.005,
1997-11,0.014,
1997-12,0.010,
1998-01,0.006,
1998-02,0.008,
1998-03,0.010,
1998-04,0.003,
1998-05,0.005,
1998-06,0.005,
1998-07,0.012,
1998-08,0.005,
1998-09,0.005,
1998-10,0.005,
1998-11,0.005,
1998-12,0.006,
1999-01,0.002,
1999-02,0.009,
1999-03,0.010,
1999-04,0.017,
1999-05,0.008,
1999-06,0.010,
1999-07,0.018,
1999-08,0.015,
1999-09,0.011,
1999-10,0.009,
1999-11,0.019,
1999-12,0.018,
2000-01,0.018,
2000-02,0.013,
2000-03,0.011,
2000-04,0.019,
2000-05,0.016,
2000-06,0.016,
2000-07,0.014,
2000-08,0.015,
2000-09,0.020,
2000-10,0.008,
2000-11,0.017,
2000-12,0.016,
2001-01,0.015,
2001-02,0.017,
2001-03,0.029,
2001-04,0.022,
2001-05,0.016,
2001-06,0.028,
2001-07,0.018,
2001-08,0.026,
2001-09,0.037,
2001-10,0.035,
2001-11,0.041,
2001-12,0.030,
2002-01,0.036,
2002-02,0.029,
2002-03,0.039,
2002-04,0.033,
2002-05,0.027,
2002-06,0.035,
2002-07,0.034,
2002-08,0.022,
2002-09,0.027,
2002-10,0.022,
2002-11,0.022,
2002-12,0.019,
2003-01,0.024,
2003-02,0.010,
2003-03,0.010,
2003-04,0.012,
2003-05,0.011,
2003-06,0.011,
2003-07,0.012,
2003-08,0.014,
2003-09,0.011,
2003-10,0.010,
2003-11,0.015,
2003-12,0.017,
2004-01,0.020,
2004-02,0.020,
2004-03,0.027,
2004-04,0.019,
2004-05,0.018,
2004-06,0.022,
2004-07,0.024,
2004-08,0.027,
2004-09,0.019,
2004-10,0.041,
2004-11,0.025,
2004-12,0.019,
2005-01,0.022,
2005-02,0.028,
2005-03,0.022,
2005-04,0.026,
2005-05,0.021,
2005-06,0.023,
2005-07,0.018,
2005-08,0.014,
2005-09,0.041,
2005-10,0.042,
2005-11,0.050,
2005-12,0.048,
2006-01,0.049,
2006-02,0.051,
2006-03,0.052,
2006-04,0.060,
2006-05,0.050,
2006-06,0.053,
2006-07,0.056,
2006-08,0.047,
2006-09,0.020,
2006-10,0.021,
2006-11,0.022,
2006-12,0.022,
2007-01,0.026,
2007-02,0.021,
2007-03,0.075,
2007-04,0.077,
2007-05,0.073,
2007-06,0.078,
2007-07,0.036,
2007-08,0.034,
2007-09,0.035,
2007-10,0.025,
2007-11,0.031,
2007-12,0.035,
2008-01,0.031,
2008-02,0.027,
2008-03,0.097,
2008-04,0.097,
2008-05,0.047,
2008-06,0.024,
2008-07,0.030,
2008-08,0.026,
2008-09,0.034,
2008-10,0.028,
2008-11,0.029,
2008-12,0.030,
2009-01,0.031,
2009-02,0.032,
2009-03,0.034,
2009-04,0.029,
2009-05,0.026,
2009-06,0.031,
2009-07,0.052,
2009-08,0.026,
2009-09,0.022,
2009-10,0.028,
2009-11,0.038,
2009-12,0.044,
2010-01,0.043,
2010-02,0.046,
2010-03,0.042,
2010-04,0.043,
2010-05,0.047,
2010-06,0.039,
2010-07,0.037,
2010-08,0.039,
2010-09,0.044,
2010-10,0.034,
2010-11,0.041,
2010-12,0.032,
2011-01,0.033,
2011-02,0.031,
2011-03,0.038,
2011-04,0.023,
2011-05,0.027,
2011-06,0.033,
2011-07,0.028,
2011-08,0.026,
2011-09,0.022,
2011-10,0.022,
2011-11,0.025,
2011-12,0.027,
2012-01,0.028,
2012-02,0.025,
2012-03,0.023,
2012-04,0.018,
2012-05,0.024,
2012-06,0.021,
2012-07,0.024,
2012-08,0.025,
2012-09,0.024,
2012-10,0.024,
2012-11,0.026,
2012-12,0.023,
2013-01,0.027,
2013-02,0.031,
2013-03,0.033,
2013-04,0.041,
2013-05,0.037,
2013-06,0.046,
2013-07,0.029,
2013-08,0.040,
2013-09,0.045,
2013-10,0.025,
2013-11,0.020,
2013-12,0.027,
2014-01,0.030,
2014-02,0.029,
2014-03,0.030,
2014-04,0.038,
2014-05,0.031,
2014-06,0.030,
2014-07,0.034,
2014-08,0.035,
2014-09,0.039,
2014-10,0.035,
2014-11,0.040,
2014-12,0.048,
