"",BBK01.CE4AAU,BBK01.CE4AAU_FLAGS
"",Claims on insurance corporations debtor: Insurance corporations                    creditor:All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:19:08,
1991-01,16.8,
1991-04,1.8,
1991-07,12.1,
1991-10,4.2,
1992-01,20.3,
1992-04,8.7,
1992-07,7.7,
1992-10,2.8,
1993-01,12.6,
1993-04,16.0,
1993-07,10.5,
1993-10,8.6,
1994-01,8.8,
1994-04,22.8,
1994-07,11.5,
1994-10,6.0,
1995-01,36.5,
1995-04,11.7,
1995-07,14.3,
1995-10,10.7,
1996-01,26.3,
1996-04,12.2,
1996-07,12.0,
1996-10,6.4,
1997-01,30.8,
1997-04,12.7,
1997-07,15.1,
1997-10,9.6,
1998-01,27.1,
1998-04,18.0,
1998-07,12.4,
1998-10,11.8,
1999-01,22.5,
1999-04,13.9,
1999-07,16.2,
1999-10,20.8,
2000-01,24.0,
2000-04,13.4,
2000-07,14.8,
2000-10,10.1,
2001-01,23.5,
2001-04,12.6,
2001-07,18.2,
2001-10,13.3,
2002-01,28.0,
2002-04,12.6,
2002-07,15.3,
2002-10,-13.3,
2003-01,19.0,
2003-04,13.1,
2003-07,12.6,
2003-10,8.9,
2004-01,17.4,
2004-04,9.3,
2004-07,11.2,
2004-10,16.8,
2005-01,19.2,
2005-04,10.9,
2005-07,14.3,
2005-10,29.4,
2006-01,16.4,
2006-04,12.8,
2006-07,14.9,
2006-10,15.0,
2007-01,11.7,
2007-04,9.6,
2007-07,11.5,
2007-10,25.9,
2008-01,6.6,
2008-04,5.5,
2008-07,6.3,
2008-10,6.3,
2009-01,19.5,
2009-04,11.4,
2009-07,10.0,
2009-10,15.3,
2010-01,27.8,
2010-04,19.2,
2010-07,13.4,
2010-10,18.1,
2011-01,18.9,
2011-04,12.7,
2011-07,10.3,
2011-10,13.6,
2012-01,25.4,
2012-04,17.6,
2012-07,13.9,
2012-10,17.2,
2013-01,24.6,
2013-04,18.1,
2013-07,14.3,
2013-10,17.7,
2014-01,32.1,
