"",BBFN1.M.DE.N.1.L.SE.S1P.F0.S.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.SE.S1P.F0.S.B000.Z01.BGA.X001.D_FLAGS
1988-10,0.100,
1988-11,0.100,
1988-12,0.114,
1989-01,0.132,
1989-02,0.133,
1989-03,0.118,
1989-04,0.105,
1989-05,0.108,
1989-06,0.111,
1989-07,0.106,
1989-08,0.098,
1989-09,0.104,
1989-10,0.174,
1989-11,0.122,
1989-12,0.156,
1990-01,0.220,
1990-02,0.229,
1990-03,0.233,
1990-04,0.239,
1990-05,0.223,
1990-06,0.224,
1990-07,0.301,
1990-08,0.276,
1990-09,0.334,
1990-10,0.423,
1990-11,0.366,
1990-12,0.377,
1991-01,0.299,
1991-02,0.301,
1991-03,0.311,
1991-04,0.363,
1991-05,0.359,
1991-06,0.410,
1991-07,0.414,
1991-08,0.410,
1991-09,0.414,
1991-10,0.420,
1991-11,0.460,
1991-12,0.440,
1992-01,0.370,
1992-02,0.352,
1992-03,0.351,
1992-04,0.331,
1992-05,0.324,
1992-06,0.308,
1992-07,0.268,
1992-08,0.269,
1992-09,0.237,
1992-10,0.230,
1992-11,0.221,
1992-12,0.196,
1993-01,0.198,
1993-02,0.193,
1993-03,0.185,
1993-04,0.185,
1993-05,0.256,
1993-06,0.316,
1993-07,0.334,
1993-08,0.325,
1993-09,0.304,
1993-10,0.301,
1993-11,0.264,
1993-12,0.263,
1994-01,0.244,
1994-02,0.254,
1994-03,0.255,
1994-04,0.295,
1994-05,0.296,
1994-06,0.251,
1994-07,0.250,
1994-08,0.250,
1994-09,0.252,
1994-10,0.252,
1994-11,0.111,
1994-12,0.094,
1995-01,0.059,
1995-02,0.055,
1995-03,0.055,
1995-04,0.058,
1995-05,0.054,
1995-06,0.054,
1995-07,0.062,
1995-08,0.054,
1995-09,0.057,
1995-10,0.049,
1995-11,0.051,
1995-12,0.047,
1996-01,0.048,
1996-02,0.093,
1996-03,0.102,
1996-04,0.110,
1996-05,0.094,
1996-06,0.105,
1996-07,0.029,
1996-08,0.036,
1996-09,0.036,
1996-10,0.037,
1996-11,0.036,
1996-12,0.036,
1997-01,0.036,
1997-02,0.026,
1997-03,0.033,
1997-04,0.046,
1997-05,0.015,
1997-06,0.018,
1997-07,0.017,
1997-08,0.028,
1997-09,0.020,
1997-10,0.019,
1997-11,0.021,
1997-12,0.019,
1998-01,0.021,
1998-02,0.026,
1998-03,0.029,
1998-04,0.022,
1998-05,0.041,
1998-06,0.039,
1998-07,0.046,
1998-08,0.040,
1998-09,0.037,
1998-10,0.168,
1998-11,0.032,
1998-12,0.036,
1999-01,0.010,
1999-02,.,No value available
1999-03,0.008,
1999-04,0.008,
1999-05,0.011,
1999-06,0.035,
1999-07,0.021,
1999-08,.,No value available
1999-09,.,No value available
1999-10,0.025,
1999-11,0.008,
1999-12,0.007,
2000-01,0.011,
2000-02,0.011,
2000-03,0.010,
2000-04,.,No value available
2000-05,0.011,
2000-06,0.020,
2000-07,0.016,
2000-08,0.015,
2000-09,0.014,
2000-10,0.014,
2000-11,0.013,
2000-12,0.020,
2001-01,0.022,
2001-02,0.017,
2001-03,0.006,
2001-04,0.006,
2001-05,0.006,
2001-06,0.012,
2001-07,0.014,
2001-08,0.012,
2001-09,0.011,
2001-10,0.030,
2001-11,0.025,
2001-12,0.008,
2002-01,0.007,
2002-02,0.702,
2002-03,0.667,
2002-04,0.665,
2002-05,0.037,
2002-06,0.018,
2002-07,0.020,
2002-08,0.041,
2002-09,0.116,
2002-10,0.116,
2002-11,0.401,
2002-12,0.051,
2003-01,0.078,
2003-02,0.102,
2003-03,0.101,
2003-04,0.096,
2003-05,0.089,
2003-06,0.082,
2003-07,0.062,
2003-08,0.062,
2003-09,0.053,
2003-10,0.032,
2003-11,0.025,
2003-12,0.025,
2004-01,0.032,
2004-02,0.029,
2004-03,0.025,
2004-04,0.025,
2004-05,0.025,
2004-06,0.026,
2004-07,0.029,
2004-08,0.024,
2004-09,0.024,
2004-10,0.024,
2004-11,0.025,
2004-12,0.025,
2005-01,0.024,
2005-02,0.030,
2005-03,0.025,
2005-04,0.024,
2005-05,0.024,
2005-06,0.027,
2005-07,0.025,
2005-08,0.025,
2005-09,0.129,
2005-10,0.129,
2005-11,0.129,
2005-12,0.134,
2006-01,0.167,
2006-02,0.324,
2006-03,0.363,
2006-04,0.335,
2006-05,0.280,
2006-06,0.286,
2006-07,0.234,
2006-08,0.239,
2006-09,0.218,
2006-10,0.205,
2006-11,0.152,
2006-12,0.149,
2007-01,0.165,
2007-02,0.254,
2007-03,0.247,
2007-04,0.255,
2007-05,0.409,
2007-06,0.406,
2007-07,0.443,
2007-08,0.428,
2007-09,0.266,
2007-10,0.204,
2007-11,0.209,
2007-12,0.224,
2008-01,0.394,
2008-02,0.239,
2008-03,0.186,
2008-04,0.211,
2008-05,0.190,
2008-06,0.145,
2008-07,0.108,
2008-08,0.320,
2008-09,0.334,
2008-10,0.214,
2008-11,0.189,
2008-12,0.210,
2009-01,0.189,
2009-02,0.308,
2009-03,0.300,
2009-04,0.338,
2009-05,0.345,
2009-06,0.248,
2009-07,0.223,
2009-08,0.212,
2009-09,0.221,
2009-10,0.228,
2009-11,0.209,
2009-12,0.197,
2010-01,0.209,
2010-02,0.222,
2010-03,0.222,
2010-04,0.205,
2010-05,0.207,
2010-06,0.201,
2010-07,0.209,
2010-08,0.207,
2010-09,0.199,
2010-10,0.281,
2010-11,0.506,
2010-12,0.443,
2011-01,0.367,
2011-02,0.370,
2011-03,0.351,
2011-04,0.366,
2011-05,0.423,
2011-06,0.420,
2011-07,0.402,
2011-08,0.902,
2011-09,0.978,
2011-10,0.898,
2011-11,1.028,
2011-12,1.337,
2012-01,1.193,
2012-02,0.690,
2012-03,0.948,
2012-04,0.863,
2012-05,0.909,
2012-06,0.564,
2012-07,1.013,
2012-08,0.407,
2012-09,0.339,
2012-10,0.362,
2012-11,0.256,
2012-12,0.402,
2013-01,1.465,
2013-02,0.560,
2013-03,0.674,
2013-04,1.166,
2013-05,1.613,
2013-06,1.627,
2013-07,1.722,
2013-08,1.261,
2013-09,0.298,
2013-10,0.307,
2013-11,0.110,
2013-12,0.060,
2014-01,0.059,
2014-02,0.049,
2014-03,0.035,
2014-04,0.205,
2014-05,3.076,
2014-06,0.039,
2014-07,0.247,
2014-08,0.239,
2014-09,0.403,
2014-10,0.399,
2014-11,0.363,
2014-12,0.293,
