"",BBK01.CELENK,BBK01.CELENK_FLAGS
"",short-term loans                                              debtor: Rest of the world                   creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:49:59,
1999-01,0.4,
1999-04,1.1,
1999-07,0.5,
1999-10,0.9,
2000-01,4.0,
2000-04,0.3,
2000-07,0.8,
2000-10,0.7,
2001-01,0.6,
2001-04,1.1,
2001-07,-0.2,
2001-10,2.0,
2002-01,1.1,
2002-04,1.3,
2002-07,3.7,
2002-10,0.4,
2003-01,2.3,
2003-04,-0.2,
2003-07,0.6,
2003-10,1.5,
2004-01,2.0,
2004-04,0.6,
2004-07,0.1,
2004-10,-0.5,
2005-01,1.1,
2005-04,1.2,
2005-07,1.0,
2005-10,2.8,
2006-01,-2.6,
2006-04,-1.5,
2006-07,-0.7,
2006-10,-2.3,
2007-01,-6.1,
2007-04,-1.8,
2007-07,-1.9,
2007-10,-0.6,
2008-01,-0.1,
2008-04,-0.4,
2008-07,0.1,
2008-10,-0.6,
2009-01,0.6,
2009-04,0.0,
2009-07,0.0,
2009-10,-0.4,
2010-01,1.1,
2010-04,0.4,
2010-07,0.6,
2010-10,0.6,
2011-01,0.7,
2011-04,0.1,
2011-07,0.7,
2011-10,0.8,
2012-01,0.6,
2012-04,1.1,
2012-07,0.8,
2012-10,-0.3,
2013-01,-0.1,
2013-04,-0.7,
2013-07,-0.8,
2013-10,-0.6,
2014-01,0.2,
2014-04,0.1,
2014-07,-0.5,
