"",BBK01.CEFE0K,BBK01.CEFE0K_FLAGS
"",short-term loans  debtor: Total               creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:36:16,
1999-01,43.1,
1999-04,44.6,
1999-07,45.5,
1999-10,46.9,
2000-01,51.1,
2000-04,51.7,
2000-07,52.7,
2000-10,53.5,
2001-01,54.6,
2001-04,56.2,
2001-07,56.4,
2001-10,58.9,
2002-01,60.3,
2002-04,62.3,
2002-07,66.2,
2002-10,67.1,
2003-01,70.2,
2003-04,70.7,
2003-07,71.8,
2003-10,74.2,
2004-01,76.9,
2004-04,78.3,
2004-07,79.3,
2004-10,79.7,
2005-01,78.6,
2005-04,78.1,
2005-07,82.0,
2005-10,83.3,
2006-01,80.5,
2006-04,78.6,
2006-07,73.6,
2006-10,70.8,
2007-01,58.7,
2007-04,56.2,
2007-07,53.7,
2007-10,51.7,
2008-01,51.5,
2008-04,50.8,
2008-07,50.6,
2008-10,49.3,
2009-01,50.0,
2009-04,49.5,
2009-07,49.0,
2009-10,48.0,
2010-01,49.5,
2010-04,50.1,
2010-07,50.7,
2010-10,51.2,
2011-01,51.9,
2011-04,51.9,
2011-07,52.4,
2011-10,52.9,
2012-01,53.8,
2012-04,55.0,
2012-07,55.9,
2012-10,55.8,
2013-01,54.9,
2013-04,53.6,
2013-07,52.3,
2013-10,51.4,
2014-01,51.9,
2014-04,52.2,
2014-07,51.9,
