"",BBAI3.Q.DE.N.V.LE.F7.S1251.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F7.S1251.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Insurance corporations (ICs) / Other accounts receivable/payable / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:06,
2005-10,81932,
2006-01,81686,
2006-04,80779,
2006-07,80198,
2006-10,79149,
2007-01,78957,
2007-04,77755,
2007-07,76844,
2007-10,75673,
2008-01,75628,
2008-04,74775,
2008-07,73907,
2008-10,72251,
2009-01,72512,
2009-04,71917,
2009-07,71343,
2009-10,71131,
2010-01,71620,
2010-04,70940,
2010-07,69975,
2010-10,69373,
2011-01,69962,
2011-04,69776,
2011-07,69765,
2011-10,69628,
2012-01,69940,
2012-04,69664,
2012-07,69574,
2012-10,69530,
2013-01,70906,
2013-04,71160,
2013-07,71405,
2013-10,71795,
2014-01,69756,
2014-04,70416,
2014-07,70348,
