"",BBK01.CEFIK0,BBK01.CEFIK0_FLAGS
"",Listed shares  debtor: Insurance corporations                                                                                                         creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:36:38,
1999-01,187.9,
1999-04,180.2,
1999-07,169.3,
1999-10,221.7,
2000-01,249.6,
2000-04,205.5,
2000-07,227.4,
2000-10,185.0,
2001-01,194.2,
2001-04,202.2,
2001-07,130.4,
2001-10,141.5,
2002-01,165.2,
2002-04,147.8,
2002-07,72.3,
2002-10,49.7,
2003-01,44.2,
2003-04,69.5,
2003-07,68.7,
2003-10,84.5,
2004-01,80.3,
2004-04,80.4,
2004-07,73.6,
2004-10,82.9,
2005-01,87.2,
2005-04,83.5,
2005-07,95.9,
2005-10,108.7,
2006-01,105.5,
2006-04,96.7,
2006-07,115.9,
2006-10,128.9,
2007-01,134.3,
2007-04,141.9,
2007-07,128.4,
2007-10,121.3,
2008-01,108.9,
2008-04,100.6,
2008-07,90.8,
2008-10,71.9,
2009-01,57.7,
2009-04,58.2,
2009-07,71.5,
2009-10,72.5,
2010-01,78.2,
2010-04,69.5,
2010-07,69.6,
2010-10,74.6,
2011-01,77.9,
2011-04,73.4,
2011-07,57.7,
2011-10,59.6,
2012-01,71.8,
2012-04,65.6,
2012-07,75.3,
2012-10,84.9,
2013-01,89.2,
2013-04,89.9,
2013-07,92.6,
2013-10,103.7,
2014-01,100.4,
2014-04,93.3,
2014-07,95.2,
