"",BBFN1.M.DE.N.1.A.CZ.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.CZ.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
1991-05,0.000,
1991-06,0.000,
1991-07,0.000,
1991-08,0.000,
1991-09,0.000,
1991-10,0.000,
1991-11,0.000,
1991-12,0.000,
1992-01,0.000,
1992-02,0.000,
1992-03,0.000,
1992-04,0.000,
1992-05,0.000,
1992-06,0.000,
1992-07,0.000,
1992-08,0.000,
1992-09,0.000,
1992-10,0.000,
1992-11,0.000,
1992-12,0.000,
1993-01,0.027,
1993-02,0.028,
1993-03,0.031,
1993-04,0.031,
1993-05,0.033,
1993-06,0.040,
1993-07,0.042,
1993-08,0.051,
1993-09,0.051,
1993-10,0.052,
1993-11,0.056,
1993-12,0.052,
1994-01,0.058,
1994-02,0.062,
1994-03,0.079,
1994-04,0.085,
1994-05,0.097,
1994-06,0.108,
1994-07,0.114,
1994-08,0.125,
1994-09,0.125,
1994-10,0.128,
1994-11,0.129,
1994-12,0.146,
1995-01,0.151,
1995-02,0.160,
1995-03,0.170,
1995-04,0.174,
1995-05,0.181,
1995-06,0.182,
1995-07,0.178,
1995-08,0.183,
1995-09,0.191,
1995-10,0.198,
1995-11,0.199,
1995-12,0.191,
1996-01,0.197,
1996-02,0.207,
1996-03,0.218,
1996-04,0.217,
1996-05,0.259,
1996-06,0.300,
1996-07,0.312,
1996-08,0.312,
1996-09,0.319,
1996-10,0.312,
1996-11,0.327,
1996-12,0.335,
1997-01,0.341,
1997-02,0.345,
1997-03,0.384,
1997-04,0.384,
1997-05,0.377,
1997-06,0.393,
1997-07,0.403,
1997-08,0.427,
1997-09,0.436,
1997-10,0.465,
1997-11,0.469,
1997-12,0.469,
1998-01,0.483,
1998-02,0.506,
1998-03,0.467,
1998-04,0.476,
1998-05,0.507,
1998-06,0.491,
1998-07,0.496,
1998-08,0.509,
1998-09,0.540,
1998-10,0.547,
1998-11,0.556,
1998-12,0.515,
1999-01,0.531,
1999-02,0.514,
1999-03,0.498,
1999-04,0.506,
1999-05,0.523,
1999-06,0.519,
1999-07,0.529,
1999-08,0.515,
1999-09,0.522,
1999-10,0.529,
1999-11,0.537,
1999-12,0.534,
2000-01,0.519,
2000-02,0.536,
2000-03,0.528,
2000-04,0.533,
2000-05,0.544,
2000-06,0.571,
2000-07,0.561,
2000-08,0.584,
2000-09,0.584,
2000-10,0.593,
2000-11,0.610,
2000-12,0.600,
2001-01,0.632,
2001-02,0.632,
2001-03,0.629,
2001-04,0.643,
2001-05,0.646,
2001-06,0.662,
2001-07,0.674,
2001-08,0.699,
2001-09,0.715,
2001-10,0.724,
2001-11,0.704,
2001-12,0.676,
2002-01,0.609,
2002-02,0.641,
2002-03,0.587,
2002-04,0.569,
2002-05,0.572,
2002-06,0.609,
2002-07,0.601,
2002-08,0.570,
2002-09,0.561,
2002-10,0.554,
2002-11,0.541,
2002-12,0.503,
2003-01,0.476,
2003-02,0.469,
2003-03,0.465,
2003-04,0.463,
2003-05,0.466,
2003-06,0.456,
2003-07,0.448,
2003-08,0.447,
2003-09,0.440,
2003-10,0.450,
2003-11,0.465,
2003-12,0.449,
2004-01,0.408,
2004-02,0.422,
2004-03,0.490,
2004-04,0.511,
2004-05,0.507,
2004-06,0.492,
2004-07,0.491,
2004-08,0.495,
2004-09,0.484,
2004-10,0.473,
2004-11,0.434,
2004-12,0.422,
2005-01,0.418,
2005-02,0.413,
2005-03,0.414,
2005-04,0.430,
2005-05,0.439,
2005-06,0.424,
2005-07,0.429,
2005-08,0.427,
2005-09,0.458,
2005-10,0.444,
2005-11,0.424,
2005-12,0.430,
2006-01,0.426,
2006-02,0.448,
2006-03,0.430,
2006-04,0.425,
2006-05,0.425,
2006-06,0.407,
2006-07,0.381,
2006-08,0.395,
2006-09,0.395,
2006-10,0.411,
2006-11,0.412,
2006-12,0.414,
2007-01,0.439,
2007-02,0.525,
2007-03,0.453,
2007-04,0.438,
2007-05,0.455,
2007-06,0.445,
2007-07,0.441,
2007-08,0.438,
2007-09,0.471,
2007-10,0.479,
2007-11,0.494,
2007-12,0.553,
2008-01,0.488,
2008-02,0.541,
2008-03,0.554,
2008-04,0.547,
2008-05,0.565,
2008-06,0.544,
2008-07,0.523,
2008-08,0.539,
2008-09,0.673,
2008-10,0.645,
2008-11,0.657,
2008-12,0.662,
2009-01,0.668,
2009-02,0.661,
2009-03,0.824,
2009-04,0.813,
2009-05,0.829,
2009-06,0.814,
2009-07,0.768,
2009-08,0.753,
2009-09,0.863,
2009-10,0.859,
2009-11,0.905,
2009-12,0.891,
2010-01,0.900,
2010-02,0.896,
2010-03,0.898,
2010-04,0.909,
2010-05,0.933,
2010-06,0.898,
2010-07,0.905,
2010-08,0.915,
2010-09,0.907,
2010-10,0.909,
2010-11,0.949,
2010-12,0.932,
2011-01,0.941,
2011-02,0.949,
2011-03,0.942,
2011-04,0.946,
2011-05,1.143,
2011-06,1.122,
2011-07,1.139,
2011-08,1.159,
2011-09,1.162,
2011-10,1.183,
2011-11,1.176,
2011-12,1.211,
2012-01,1.217,
2012-02,1.192,
2012-03,1.229,
2012-04,1.211,
2012-05,1.285,
2012-06,1.281,
2012-07,1.280,
2012-08,1.327,
2012-09,1.341,
2012-10,1.396,
2012-11,1.404,
2012-12,1.445,
2013-01,1.525,
2013-02,1.531,
2013-03,1.553,
2013-04,1.564,
2013-05,1.569,
2013-06,1.577,
2013-07,1.379,
2013-08,1.406,
2013-09,1.510,
2013-10,1.707,
2013-11,1.580,
2013-12,1.578,
2014-01,1.574,
2014-02,1.591,
2014-03,1.439,
2014-04,1.434,
2014-05,1.508,
2014-06,1.503,
2014-07,1.531,
2014-08,1.558,
2014-09,1.616,
2014-10,1.615,
2014-11,1.706,
2014-12,1.616,
