"",BBAI3.Q.DE.N.V.LE.F6.EV.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F6.EV.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Primary insurance companies / Insurance technical reserves / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:29:07,
2005-10,871273,
2006-01,887840,
2006-04,898520,
2006-07,908897,
2006-10,918123,
2007-01,936342,
2007-04,944767,
2007-07,953913,
2007-10,958903,
2008-01,971326,
2008-04,976297,
2008-07,979393,
2008-10,969136,
2009-01,987504,
2009-04,998807,
2009-07,1008351,
2009-10,1016969,
2010-01,1043360,
2010-04,1054720,
2010-07,1058777,
2010-10,1065353,
2011-01,1083298,
2011-04,1089121,
2011-07,1093604,
2011-10,1091155,
2012-01,1111273,
2012-04,1122186,
2012-07,1133843,
2012-10,1144838,
2013-01,1171232,
2013-04,1183178,
2013-07,1192702,
2013-10,1204855,
2014-01,1230562,
2014-04,1240825,
2014-07,1248753,
