"",BBAI3.Q.DE.N.V.LE.F52.EV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F52.EV.A1.S.1.N.E.Z_FLAGS
"",Assets / Primary insurance companies / Mutual funds shares / units / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:21,
2005-10,253998,
2006-01,262983,
2006-04,258838,
2006-07,269914,
2006-10,276292,
2007-01,281169,
2007-04,289262,
2007-07,292032,
2007-10,293188,
2008-01,279637,
2008-04,274611,
2008-07,273875,
2008-10,262698,
2009-01,259988,
2009-04,270627,
2009-07,289409,
2009-10,296045,
2010-01,310280,
2010-04,318027,
2010-07,331668,
2010-10,333047,
2011-01,336311,
2011-04,336451,
2011-07,334271,
2011-10,335220,
2012-01,354433,
2012-04,362398,
2012-07,380721,
2012-10,396909,
2013-01,410136,
2013-04,411555,
2013-07,423026,
2013-10,435112,
2014-01,460235,
2014-04,480101,
2014-07,496532,
