"",BBAI3.Q.DE.N.V.LE.F29AAB.S1251.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F29AAB.S1251.A1.S.1.N.E.Z_FLAGS
"",Assets / Insurance corporations (ICs) / Deposits over 1 year and up to 2 years / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:33,
2005-10,934,
2006-01,1073,
2006-04,1098,
2006-07,1199,
2006-10,1391,
2007-01,1565,
2007-04,1700,
2007-07,1604,
2007-10,1793,
2008-01,1696,
2008-04,2518,
2008-07,2818,
2008-10,2307,
2009-01,2254,
2009-04,2142,
2009-07,1890,
2009-10,1860,
2010-01,1783,
2010-04,1328,
2010-07,1061,
2010-10,1093,
2011-01,1229,
2011-04,1108,
2011-07,1185,
2011-10,1176,
2012-01,1018,
2012-04,1111,
2012-07,1145,
2012-10,1027,
2013-01,1017,
2013-04,1216,
2013-07,1090,
2013-10,1102,
2014-01,916,
2014-04,917,
2014-07,1170,
