"",BBQFS.M.DE.BANK.CBC.U20103.0000,BBQFS.M.DE.BANK.CBC.U20103.0000_FLAGS
"",Cross-border claims of German banks on other euro-area countries (FSR 2014),
unit,¤ (hypothetically euro-based),
unit multiplier,billion,
last update,2015-01-07 17:09:35,
2002-03,463.22,
2002-04,442.69,
2002-05,451.94,
2002-06,445.64,
2002-07,432.65,
2002-08,427.76,
2002-09,429.50,
2002-10,433.90,
2002-11,443.38,
2002-12,422.69,
2003-01,431.64,
2003-02,442.81,
2003-03,433.64,
2003-04,437.32,
2003-05,457.29,
2003-06,448.63,
2003-07,443.21,
2003-08,435.27,
2003-09,444.34,
2003-10,440.78,
2003-11,455.69,
2003-12,450.05,
2004-01,458.18,
2004-02,476.70,
2004-03,492.37,
2004-04,485.97,
2004-05,487.94,
2004-06,486.10,
2004-07,494.71,
2004-08,487.06,
2004-09,481.09,
2004-10,497.79,
2004-11,514.55,
2004-12,494.16,
2005-01,516.73,
2005-02,547.62,
2005-03,525.95,
2005-04,526.97,
2005-05,542.83,
2005-06,528.60,
2005-07,521.99,
2005-08,518.30,
2005-09,527.97,
2005-10,532.13,
2005-11,554.65,
2005-12,421.55,
2006-01,455.95,
2006-02,478.24,
2006-03,471.01,
2006-04,474.73,
2006-05,465.27,
2006-06,457.46,
2006-07,460.41,
2006-08,450.18,
2006-09,462.67,
2006-10,478.59,
2006-11,486.77,
2006-12,474.60,
2007-01,501.13,
2007-02,504.62,
2007-03,508.34,
2007-04,514.40,
2007-05,520.62,
2007-06,527.63,
2007-07,518.15,
2007-08,499.57,
2007-09,504.52,
2007-10,510.91,
2007-11,515.45,
2007-12,498.57,
2008-01,552.59,
2008-02,538.06,
2008-03,525.75,
2008-04,527.40,
2008-05,533.43,
2008-06,532.35,
2008-07,541.56,
2008-08,538.03,
2008-09,538.23,
2008-10,527.32,
2008-11,527.70,
2008-12,493.18,
2009-01,515.67,
2009-02,504.02,
2009-03,497.44,
2009-04,492.77,
2009-05,494.80,
2009-06,484.31,
2009-07,490.83,
2009-08,494.96,
2009-09,499.06,
2009-10,510.35,
2009-11,502.73,
2009-12,460.91,
2010-01,473.67,
2010-02,482.89,
2010-03,481.07,
2010-04,504.73,
2010-05,515.45,
2010-06,520.18,
2010-07,532.28,
2010-08,534.81,
2010-09,507.19,
2010-10,500.48,
2010-11,509.73,
2010-12,489.95,
2011-01,501.72,
2011-02,504.73,
2011-03,490.80,
2011-04,506.19,
2011-05,509.83,
2011-06,493.02,
2011-07,492.30,
2011-08,509.79,
2011-09,501.23,
2011-10,500.14,
2011-11,494.31,
2011-12,463.06,
2012-01,471.92,
2012-02,476.36,
2012-03,483.25,
2012-04,484.47,
2012-05,497.44,
2012-06,486.69,
2012-07,496.98,
2012-08,501.27,
2012-09,496.99,
2012-10,491.52,
2012-11,498.25,
2012-12,477.53,
2013-01,479.76,
2013-02,489.16,
2013-03,485.26,
2013-04,487.93,
2013-05,489.93,
2013-06,487.40,
2013-07,481.08,
2013-08,480.01,
2013-09,472.37,
2013-10,480.39,
2013-11,486.12,
2013-12,450.68,
2014-01,471.28,
2014-02,479.58,
2014-03,470.95,
2014-04,472.83,
2014-05,482.27,
2014-06,481.65,
2014-07,493.82,
2014-08,487.86,
"",Methodology: As definded in the consolidated banking statistics of the Bank for International Settlements (including foreign branches and subsidiaries. All euro-area countries except the countries particularly affected by the crisis.,
