"",BBFN1.M.DE.N.1.L.PT.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.PT.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
1999-07,0.514,
1999-08,0.654,
1999-09,0.662,
1999-10,0.713,
1999-11,0.706,
1999-12,0.726,
2000-01,0.790,
2000-02,0.711,
2000-03,0.737,
2000-04,0.640,
2000-05,0.698,
2000-06,0.684,
2000-07,0.643,
2000-08,0.804,
2000-09,0.798,
2000-10,0.787,
2000-11,0.772,
2000-12,0.774,
2001-01,0.742,
2001-02,0.750,
2001-03,0.671,
2001-04,0.779,
2001-05,0.661,
2001-06,0.660,
2001-07,0.573,
2001-08,0.790,
2001-09,0.704,
2001-10,0.689,
2001-11,0.599,
2001-12,0.816,
2002-01,0.634,
2002-02,0.636,
2002-03,0.596,
2002-04,0.566,
2002-05,0.577,
2002-06,0.650,
2002-07,0.647,
2002-08,0.648,
2002-09,0.611,
2002-10,0.580,
2002-11,0.528,
2002-12,0.465,
2003-01,0.532,
2003-02,0.506,
2003-03,0.536,
2003-04,0.399,
2003-05,0.386,
2003-06,0.349,
2003-07,0.328,
2003-08,0.337,
2003-09,0.332,
2003-10,0.336,
2003-11,0.329,
2003-12,0.381,
2004-01,0.396,
2004-02,0.398,
2004-03,0.387,
2004-04,0.406,
2004-05,0.397,
2004-06,0.400,
2004-07,0.442,
2004-08,0.466,
2004-09,0.511,
2004-10,0.481,
2004-11,0.430,
2004-12,0.429,
2005-01,0.399,
2005-02,0.507,
2005-03,0.444,
2005-04,0.441,
2005-05,0.436,
2005-06,0.438,
2005-07,0.460,
2005-08,0.525,
2005-09,0.615,
2005-10,0.566,
2005-11,0.558,
2005-12,0.553,
2006-01,0.516,
2006-02,0.489,
2006-03,0.494,
2006-04,0.546,
2006-05,0.548,
2006-06,0.450,
2006-07,0.443,
2006-08,0.490,
2006-09,0.481,
2006-10,0.472,
2006-11,0.470,
2006-12,0.485,
2007-01,0.495,
2007-02,0.440,
2007-03,0.472,
2007-04,0.409,
2007-05,0.382,
2007-06,0.379,
2007-07,0.380,
2007-08,0.425,
2007-09,0.417,
2007-10,0.477,
2007-11,0.417,
2007-12,0.455,
2008-01,0.261,
2008-02,0.283,
2008-03,0.539,
2008-04,0.526,
2008-05,0.419,
2008-06,0.586,
2008-07,0.359,
2008-08,0.371,
2008-09,0.374,
2008-10,0.611,
2008-11,0.550,
2008-12,0.567,
2009-01,0.580,
2009-02,0.460,
2009-03,0.503,
2009-04,0.665,
2009-05,0.574,
2009-06,0.534,
2009-07,0.509,
2009-08,0.710,
2009-09,0.763,
2009-10,0.841,
2009-11,0.639,
2009-12,0.695,
2010-01,0.676,
2010-02,0.645,
2010-03,0.677,
2010-04,0.671,
2010-05,0.673,
2010-06,0.562,
2010-07,0.563,
2010-08,0.567,
2010-09,0.607,
2010-10,0.623,
2010-11,0.601,
2010-12,0.809,
2011-01,0.803,
2011-02,0.817,
2011-03,0.668,
2011-04,0.662,
2011-05,0.609,
2011-06,0.655,
2011-07,0.606,
2011-08,0.623,
2011-09,0.689,
2011-10,0.698,
2011-11,0.647,
2011-12,0.715,
2012-01,0.785,
2012-02,0.751,
2012-03,0.708,
2012-04,0.780,
2012-05,0.806,
2012-06,0.807,
2012-07,0.927,
2012-08,0.983,
2012-09,0.916,
2012-10,1.081,
2012-11,1.054,
2012-12,0.878,
2013-01,0.944,
2013-02,0.897,
2013-03,0.931,
2013-04,0.889,
2013-05,0.905,
2013-06,0.814,
2013-07,0.806,
2013-08,0.751,
2013-09,0.866,
2013-10,0.920,
2013-11,1.113,
2013-12,1.077,
2014-01,0.983,
2014-02,1.058,
2014-03,1.118,
2014-04,0.908,
2014-05,0.895,
2014-06,0.850,
2014-07,0.928,
2014-08,0.818,
2014-09,0.780,
2014-10,0.890,
2014-11,0.912,
2014-12,0.863,
