"",BBDL1.M.DE.N.UNE.UBA000.A0000.A02.D00.0.ABA.A,BBDL1.M.DE.N.UNE.UBA000.A0000.A02.D00.0.ABA.A_FLAGS
"",Unemployment registered pursuant to section 16 Social Security Code III / Germany / Social Security Code III / Absolute value / Unadjusted figure,
unit,Anzahl (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-26 10:05:05,
2005-01,2754025,
2005-02,2665979,
2005-03,2501599,
2005-04,2208017,
2005-05,2022706,
2005-06,1914654,
2005-07,1964508,
2005-08,1930074,
2005-09,1822512,
2005-10,1765428,
2005-11,1745851,
2005-12,1796741,
2006-01,2102840,
2006-02,2095563,
2006-03,1992085,
2006-04,1812658,
2006-05,1617444,
2006-06,1531019,
2006-07,1554951,
2006-08,1552897,
2006-09,1481031,
2006-10,1416232,
2006-11,1386357,
2006-12,1409323,
2007-01,1614944,
2007-02,1581013,
2007-03,1474181,
2007-04,1349043,
2007-05,1233959,
2007-06,1157086,
2007-07,1193131,
2007-08,1181354,
2007-09,1090688,
2007-10,1030034,
2007-11,1006712,
2007-12,1034227,
2008-01,1230080,
2008-02,1197625,
2008-03,1113827,
2008-04,1044359,
2008-05,964236,
2008-06,906703,
2008-07,964263,
2008-08,961853,
2008-09,917786,
2008-10,883630,
2008-11,902340,
2008-12,994297,
2009-01,1263464,
2009-02,1292837,
2009-03,1296143,
2009-04,1270477,
2009-05,1192658,
2009-06,1159557,
2009-07,1210324,
2009-08,1211053,
2009-09,1137154,
2009-10,1071358,
2009-11,1069566,
2009-12,1107777,
2010-01,1339453,
2010-02,1356920,
2010-03,1285086,
2010-04,1140269,
2010-05,1036717,
2010-06,983211,
2010-07,1029804,
2010-08,1030199,
2010-09,948896,
2010-10,907816,
2010-11,902944,
2010-12,948899,
2011-01,1146217,
2011-02,1107819,
2011-03,1010098,
2011-04,907731,
2011-05,839624,
2011-06,804723,
2011-07,859936,
2011-08,867910,
2011-09,802523,
2011-10,779229,
2011-11,770022,
2011-12,814186,
2012-01,1011368,
2012-02,1029020,
2012-03,955789,
2012-04,893078,
2012-05,830826,
2012-06,817188,
2012-07,884821,
2012-08,909533,
2012-09,861580,
2012-10,846362,
2012-11,864138,
2012-12,924396,
2013-01,1121122,
2013-02,1132492,
2013-03,1071991,
2013-04,1001399,
2013-05,935157,
2013-06,897266,
2013-07,942533,
2013-08,955958,
2013-09,903543,
2013-10,869508,
2013-11,880965,
2013-12,923496,
2014-01,1103723,
2014-02,1104534,
2014-03,1026206,
2014-04,938247,
2014-05,892914,
2014-06,868516,
2014-07,908807,
2014-08,933652,
2014-09,884766,
2014-10,836409,
2014-11,834358,
2014-12,866558,
2015-01,1042882,
2015-02,1034273,
"",Source: Federal Employment Agency.,
"","Methodology: Based on the legal framework of the Third Book of the Social Code (Sozialgesetzbuch, SGB III), which regulates entitlement to unemployment benefit I, in particular. This unemployment insurance payment acts as a wage substitute. It should replace part of the wage of a person who has lost his/her job and who is temporarily unable to find a new position. The number of unemployed persons claiming benefits in accordance with the Third Book of the Social Code (Sozialgesetzbuch, SGB III) differs from the number of recipients claiming unemployment benefit I.",
