"",BBEX3.M.FJD.USD.CM.AB.A01,BBEX3.M.FJD.USD.CM.AB.A01_FLAGS
"",Exchange rates for the US dollar in Fiji / FJD 1 = USD ... (selling),
unit,USD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:17:22,
1990-01,0.6581,
1990-02,0.6526,
1990-03,0.6403,
1990-04,0.6386,
1990-05,0.6513,
1990-06,0.6580,
1990-07,0.6693,
1990-08,0.6880,
1990-09,0.6897,
1990-10,0.6914,
1990-11,0.6882,
1990-12,0.6768,
1991-01,0.6874,
1991-02,0.6846,
1991-03,0.6647,
1991-04,0.6619,
1991-05,0.6597,
1991-06,0.6560,
1991-07,0.6608,
1991-08,0.6638,
1991-09,0.6701,
1991-10,0.6665,
1991-11,0.6708,
1991-12,0.6705,
1992-01,0.6616,
1992-02,0.6599,
1992-03,0.6594,
1992-04,0.6589,
1992-05,0.6624,
1992-06,0.6705,
1992-07,0.6695,
1992-08,0.6680,
1992-09,0.6567,
1992-10,0.6362,
1992-11,0.6277,
1992-12,0.6275,
1993-01,0.6258,
1993-02,0.6310,
1993-03,0.6422,
1993-04,0.6532,
1993-05,0.6503,
1993-06,0.6406,
1993-07,0.6445,
1993-08,0.6452,
1993-09,0.6386,
1993-10,0.6406,
1993-11,0.6364,
1993-12,0.6405,
1994-01,0.6549,
1994-02,0.6637,
1994-03,0.6561,
1994-04,0.6643,
1994-05,0.6707,
1994-06,0.6755,
1994-07,0.6797,
1994-08,0.6822,
1994-09,0.6854,
1994-10,0.6924,
1994-11,0.6949,
1994-12,0.7012,
1995-01,0.6992,
1995-02,0.6942,
1995-03,0.7047,
1995-04,0.7187,
1995-05,0.7154,
1995-06,0.7115,
1995-07,0.7137,
1995-08,0.6967,
1995-09,0.6994,
1995-10,0.6993,
1995-11,0.6930,
1995-12,0.6911,
1996-01,0.6871,
1996-02,0.6973,
1996-03,0.7016,
1996-04,0.7054,
1996-05,0.7057,
1996-06,0.7037,
1996-07,0.7047,
1996-08,0.7076,
1996-09,0.7071,
1996-10,0.7104,
1996-11,0.7200,
1996-12,0.7141,
1997-01,0.6940,
1997-02,0.6989,
1997-03,0.7004,
1997-04,0.6983,
1997-05,0.6994,
1997-06,0.6952,
1997-07,0.6842,
1997-08,0.6793,
1997-09,0.6709,
1997-10,0.6642,
1997-11,0.6542,
1997-12,0.6370,
1998-01,0.5155,comment
1998-02,0.5131,
1998-03,0.5064,
1998-04,0.5020,
1998-05,0.4878,
1998-06,0.4867,comment
1998-07,0.4795,
1998-08,0.4676,
1998-09,0.4804,
1998-10,0.4980,
1998-11,0.4971,
1998-12,0.4950,
1999-01,0.4994,
1999-02,0.4937,
1999-03,0.4919,
1999-04,0.5050,
