"",BBK01.CEB40B,BBK01.CEB40B_FLAGS
"",Loans debtor: All sectors                    creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:19:19,
1991-01,112.2,
1991-04,112.4,
1991-07,116.0,
1991-10,115.5,
1992-01,118.2,
1992-04,119.6,
1992-07,122.3,
1992-10,120.6,
1993-01,123.3,
1993-04,125.8,
1993-07,129.4,
1993-10,128.9,
1994-01,131.7,
1994-04,134.6,
1994-07,136.2,
1994-10,138.5,
1995-01,134.9,
1995-04,138.0,
1995-07,140.9,
1995-10,143.7,
1996-01,148.7,
1996-04,150.2,
1996-07,152.9,
1996-10,151.4,
1997-01,154.6,
1997-04,157.2,
1997-07,159.2,
1997-10,155.9,
1998-01,158.9,
1998-04,160.1,
1998-07,162.1,
1998-10,159.5,
1999-01,151.6,
1999-04,154.1,
1999-07,155.9,
1999-10,162.8,
2000-01,167.7,
2000-04,170.4,
2000-07,172.9,
2000-10,171.6,
2001-01,174.3,
2001-04,177.3,
2001-07,180.8,
2001-10,193.0,
2002-01,197.6,
2002-04,201.2,
2002-07,204.0,
2002-10,221.1,
2003-01,225.6,
2003-04,229.0,
2003-07,232.2,
2003-10,250.2,
2004-01,257.6,
2004-04,260.5,
2004-07,262.8,
2004-10,269.3,
2005-01,269.4,
2005-04,268.6,
2005-07,272.7,
2005-10,264.5,
2006-01,265.9,
2006-04,267.0,
2006-07,265.1,
2006-10,261.8,
2007-01,253.3,
2007-04,253.8,
2007-07,255.6,
2007-10,253.9,
2008-01,251.2,
2008-04,252.4,
2008-07,252.3,
2008-10,249.4,
2009-01,258.1,
2009-04,262.7,
2009-07,264.3,
2009-10,266.3,
2010-01,273.4,
2010-04,275.6,
2010-07,277.4,
2010-10,276.3,
2011-01,278.8,
2011-04,279.9,
2011-07,281.2,
2011-10,282.1,
2012-01,285.6,
2012-04,286.3,
2012-07,288.1,
2012-10,287.8,
2013-01,290.9,
2013-04,290.3,
2013-07,290.9,
2013-10,292.0,
2014-01,296.1,
