"",BBQFS.Q.DE.MABA.T1_RAT._X.0000,BBQFS.Q.DE.MABA.T1_RAT._X.0000_FLAGS
"",Tier 1 capital ratio of 12 major German banks with an international focus (FSR 2014),
unit,% (hypothetically euro-based),
unit multiplier,one,
last update,2015-01-07 17:09:49,
1999-01,5.26,
1999-04,5.47,
1999-07,5.65,
1999-10,5.76,
2000-01,5.57,
2000-04,5.75,
2000-07,5.62,
2000-10,5.61,
2001-01,5.69,
2001-04,5.71,
2001-07,5.72,
2001-10,5.96,
2002-01,5.89,
2002-04,6.04,
2002-07,6.22,
2002-10,5.79,
2003-01,6.04,
2003-04,6.13,
2003-07,6.30,
2003-10,6.63,
2004-01,6.40,
2004-04,6.51,
2004-07,6.47,
2004-10,6.41,
2005-01,6.19,
2005-04,6.07,
2005-07,6.04,
2005-10,6.08,
2006-01,6.50,
2006-04,6.53,
2006-07,6.62,
2006-10,6.55,
2007-01,8.07,
2007-04,8.12,
2007-07,7.96,
2007-10,7.96,
2008-01,8.26,
2008-04,8.34,
2008-07,8.69,
2008-10,8.91,
2009-01,9.16,
2009-04,10.27,
2009-07,10.73,
2009-10,11.10,
2010-01,10.93,
2010-04,10.73,
2010-07,11.35,
2010-10,12.05,
2011-01,12.87,
2011-04,13.09,
2011-07,12.82,
2011-10,12.16,
2012-01,12.88,
2012-04,13.20,
2012-07,13.55,
2012-10,14.01,
2013-01,14.23,
2013-04,15.26,
2013-07,15.60,
2013-10,15.86,
2014-01,13.15,
2014-04,14.27,
"","Methodology: Tier 1 capital in relation to risk-weighted assets for 12 major German banks with an international focus that did not transfer postions to resolution agencies in the observation period. Linear interpolation of leverage and tier 1 capital ratio in 2007. Revised valuation of tier 1 capital and risk-weighted assets apply as of 2007, 2011 and 2014 dueto EU Capital Requirements Directives CRD II, CRD III and CRD IV respectively.",
