"",BBNZ1.Q.DE.Y.H.0103.L,BBNZ1.Q.DE.Y.H.0103.L_FLAGS
"","Germany / National accounts / Use of gross domestic product / Private consumption (price adjusted) 1, 2, 3 / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-25 17:42:42,
1970-01,44.01,
1970-04,45.11,
1970-07,46.09,
1970-10,46.65,
1971-01,46.74,
1971-04,47.73,
1971-07,48.28,
1971-10,48.89,
1972-01,49.75,
1972-04,49.92,
1972-07,50.90,
1972-10,51.35,
1973-01,51.62,
1973-04,52.30,
1973-07,52.13,
1973-10,51.91,
1974-01,51.51,
1974-04,51.76,
1974-07,52.26,
1974-10,52.16,
1975-01,53.26,
1975-04,53.45,
1975-07,54.00,
1975-10,54.68,
1976-01,55.21,
1976-04,55.66,
1976-07,55.97,
1976-10,56.69,
1977-01,57.42,
1977-04,58.36,
1977-07,58.85,
1977-10,59.03,
1978-01,59.67,
1978-04,59.89,
1978-07,61.23,
1978-10,61.80,
1979-01,61.37,
1979-04,63.65,
1979-07,62.16,
1979-10,63.15,
1980-01,63.48,
1980-04,63.13,
1980-07,63.55,
1980-10,63.44,
1981-01,63.66,
1981-04,63.07,
1981-07,63.05,
1981-10,63.30,
1982-01,63.27,
1982-04,62.69,
1982-07,61.80,
1982-10,62.51,
1983-01,63.03,
1983-04,63.92,
1983-07,62.93,
1983-10,63.85,
1984-01,64.35,
1984-04,64.63,
1984-07,64.95,
1984-10,64.94,
1985-01,65.19,
1985-04,65.65,
1985-07,66.32,
1985-10,66.91,
1986-01,67.49,
1986-04,68.51,
1986-07,68.90,
1986-10,69.25,
1987-01,68.91,
1987-04,70.96,
1987-07,71.26,
1987-10,72.43,
1988-01,70.92,
1988-04,72.54,
1988-07,73.44,
1988-10,73.57,
1989-01,74.08,
1989-04,74.16,
1989-07,75.39,
1989-10,76.56,
1990-01,77.12,
1990-04,77.99,
1990-07,78.74,
1990-10,79.30,
1991-01,81.64,
1991-04,82.46,
1991-07,80.23,
1991-10,82.30,
1992-01,83.84,
1992-04,83.39,
1992-07,83.52,
1992-10,85.94,
1993-01,84.12,
1993-04,84.19,
1993-07,84.92,
1993-10,85.87,
1994-01,86.13,
1994-04,85.78,
1994-07,86.58,
1994-10,87.13,
1995-01,87.37,
1995-04,88.53,
1995-07,88.45,
1995-10,88.46,
1996-01,88.78,
1996-04,89.20,
1996-07,89.46,
1996-10,89.51,
1997-01,89.86,
1997-04,90.41,
1997-07,89.65,
1997-10,90.38,
1998-01,90.83,
1998-04,90.38,
1998-07,91.17,
1998-10,92.13,
1999-01,92.98,
1999-04,92.94,
1999-07,93.20,
1999-10,94.43,
2000-01,94.71,
2000-04,95.80,
2000-07,95.86,
2000-10,95.32,
2001-01,96.92,
2001-04,97.15,
2001-07,97.32,
2001-10,96.71,
2002-01,96.01,
2002-04,95.99,
2002-07,96.29,
2002-10,96.75,
2003-01,96.46,
2003-04,96.40,
2003-07,96.36,
2003-10,96.29,
2004-01,96.93,
2004-04,96.72,
2004-07,96.53,
2004-10,97.29,
2005-01,97.19,
2005-04,97.26,
2005-07,97.41,
2005-10,97.56,
2006-01,98.27,
2006-04,98.59,
2006-07,98.56,
2006-10,100.22,
2007-01,98.17,
2007-04,98.98,
2007-07,99.18,
2007-10,99.18,
2008-01,99.31,
2008-04,99.27,
2008-07,99.29,
2008-10,99.28,
2009-01,99.85,
2009-04,99.91,
2009-07,98.76,
2009-10,99.30,
2010-01,99.38,
2010-04,99.80,
2010-07,99.91,
2010-10,100.76,
2011-01,102.21,
2011-04,101.44,
2011-07,102.46,
2011-10,102.84,
2012-01,102.71,
2012-04,102.86,
2012-07,102.84,
2012-10,103.05,
2013-01,103.30,
2013-04,103.93,
2013-07,104.21,
2013-10,103.90,
2014-01,104.57,
2014-04,104.52,
2014-07,105.31,
2014-10,106.10,
"","General: 1 Source of the original data: Federal Statistical Office. - 2 Territorial definition: Germany as of 1991, prior to that western Germany. Linked over annual average of 1991 (Bundesbank calculation). - 3 Methodology: Figures are chain-linked Laspeyres indices (annual overlap). As of 1970 up to the end of 1990, data basis according to ESA 1995. As of 1991, data basis according to ESA 2010.",
