"",BBK01.CEB0BQ,BBK01.CEB0BQ_FLAGS
"",Liabilities debtor: Insurance corporations                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:20:52,
1991-01,536.2,
1991-04,542.9,
1991-07,550.0,
1991-10,554.1,
1992-01,581.9,
1992-04,590.3,
1992-07,579.6,
1992-10,593.3,
1993-01,620.1,
1993-04,638.3,
1993-07,669.4,
1993-10,693.4,
1994-01,684.6,
1994-04,713.0,
1994-07,720.5,
1994-10,735.2,
1995-01,741.0,
1995-04,769.8,
1995-07,790.3,
1995-10,801.4,
1996-01,828.6,
1996-04,850.7,
1996-07,875.6,
1996-10,874.8,
1997-01,933.4,
1997-04,970.2,
1997-07,1015.0,
1997-10,1027.2,
1998-01,1093.7,
1998-04,1133.3,
1998-07,1118.7,
1998-10,1140.0,
1999-01,1165.2,
1999-04,1169.3,
1999-07,1174.8,
1999-10,1282.7,
2000-01,1382.3,
2000-04,1321.2,
2000-07,1377.1,
2000-10,1320.8,
2001-01,1361.6,
2001-04,1386.6,
2001-07,1286.2,
2001-10,1329.0,
2002-01,1401.2,
2002-04,1386.1,
2002-07,1276.2,
2002-10,1238.6,
2003-01,1251.1,
2003-04,1305.7,
2003-07,1320.8,
2003-10,1352.7,
2004-01,1367.0,
2004-04,1376.1,
2004-07,1377.5,
2004-10,1405.4,
2005-01,1424.1,
2005-04,1427.6,
2005-07,1466.8,
2005-10,1520.6,
2006-01,1533.7,
2006-04,1531.9,
2006-07,1572.1,
2006-10,1611.4,
2007-01,1631.4,
2007-04,1656.5,
2007-07,1662.3,
2007-10,1673.0,
2008-01,1654.3,
2008-04,1645.5,
2008-07,1637.0,
2008-10,1612.2,
2009-01,1603.8,
2009-04,1618.3,
2009-07,1660.3,
2009-10,1675.9,
2010-01,1708.2,
2010-04,1711.7,
2010-07,1729.8,
2010-10,1757.9,
2011-01,1775.9,
2011-04,1781.0,
2011-07,1765.7,
2011-10,1781.7,
2012-01,1828.0,
2012-04,1836.0,
2012-07,1873.1,
2012-10,1917.6,
2013-01,1955.2,
2013-04,1971.0,
2013-07,1986.0,
2013-10,2026.3,
2014-01,2051.9,
