"",BBEX3.M.GHS.EUR.CA.AC.A01,BBEX3.M.GHS.EUR.CA.AC.A01_FLAGS
"",Exchange rates for the euro in Ghana / EUR 1 = GHS ... (middle),
unit,GHS (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:17:29,
2007-07,1.27320,
2007-08,1.27055,
2007-09,1.32935,
2007-10,1.34665,
2007-11,1.41045,
2007-12,1.41450,
2008-01,1.43955,
2008-02,1.46840,
2008-03,1.53950,
2008-04,1.53275,
2008-05,1.54305,
2008-06,1.60070,
2008-07,1.66230,
2008-08,1.61725,
2008-09,1.61215,
2008-10,1.51250,
2008-11,1.52720,
2008-12,1.71025,
2009-01,1.63405,
2009-02,1.68490,
2009-03,1.81855,
2009-04,1.86470,
2009-05,1.98740,
2009-06,2.05030,
2009-07,2.07275,
2009-08,2.09205,
2009-09,2.12575,
2009-10,2.15245,
2009-11,2.16125,
2009-12,2.06870,
2010-01,1.99175,
2010-02,1.94000,
2010-03,1.90985,
2010-04,1.88815,
2010-05,1.74725,
2010-06,1.74220,
2010-07,1.87190,
2010-08,1.81425,
2010-09,1.95000,
2010-10,1.98155,
2010-11,1.88490,
2010-12,1.94045,
2011-01,2.01290,
2011-02,2.07880,
2011-03,2.15415,
2011-04,2.24830,
2011-05,2.16810,
2011-06,2.18500,
2011-07,2.15435,
2011-08,2.19140,
2011-09,2.07350,
2011-10,2.18300,
2011-11,2.08245,
2011-12,2.06780,
2012-01,2.19345,
2012-02,2.26195,
2012-03,2.31255,
2012-04,2.37940,
2012-05,2.31540,
2012-06,2.39310,
2012-07,2.36200,
2012-08,2.40790,
2012-09,2.45735,
2012-10,2.43550,
2012-11,2.45535,
2012-12,2.48475,
2013-01,2.57555,
2013-02,2.51240,
2013-03,2.47840,
2013-04,2.57660,
2013-05,2.57250,
2013-06,2.58785,
2013-07,2.64345,
2013-08,2.64000,
2013-09,2.70605,
2013-10,2.78955,
2013-11,2.83060,
2013-12,2.98615,
2014-01,3.24820,
2014-02,3.46000,
2014-03,3.68550,
2014-04,3.86040,
2014-05,3.93930,
2014-06,4.09340,
2014-07,4.05830,
2014-08,4.12780,
2014-09,4.05655,
2014-10,4.03025,
2014-11,3.99330,
2014-12,3.89585,
2015-01,3.67045,
2015-02,3.90005,
"","General: With effect from 1 July 2007, a currency conversion took place at the rate of 10,000 cedi (GHC) = 1 Ghana cedi (GHS). The currency conversion did not entail any appreciation or depreciation against other currencies.",
"","Source: Calculated on the basis of the buying and selling rates of the Bank of Ghana, Accra.",
