"",BBK01.CEL4I0,BBK01.CEL4I0_FLAGS
"",Loans                                                           debtor: Households (incl. NPISH)  creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:45:33,
1999-01,14.2,
1999-04,28.6,
1999-07,17.5,
1999-10,21.9,
2000-01,2.3,
2000-04,17.9,
2000-07,11.4,
2000-10,13.2,
2001-01,-0.5,
2001-04,5.5,
2001-07,10.6,
2001-10,5.3,
2002-01,-3.9,
2002-04,2.3,
2002-07,8.0,
2002-10,9.0,
2003-01,-3.7,
2003-04,7.1,
2003-07,9.0,
2003-10,4.0,
2004-01,-11.2,
2004-04,4.9,
2004-07,8.2,
2004-10,-2.8,
2005-01,-13.5,
2005-04,4.4,
2005-07,3.6,
2005-10,0.9,
2006-01,-8.4,
2006-04,1.5,
2006-07,5.6,
2006-10,-4.1,
2007-01,-9.9,
2007-04,-1.9,
2007-07,-3.2,
2007-10,-5.7,
2008-01,-9.6,
2008-04,1.1,
2008-07,-1.1,
2008-10,-5.5,
2009-01,-8.5,
2009-04,1.6,
2009-07,3.8,
2009-10,-3.0,
2010-01,-6.8,
2010-04,5.7,
2010-07,5.4,
2010-10,0.9,
2011-01,-3.8,
2011-04,4.9,
2011-07,6.8,
2011-10,3.8,
2012-01,-1.1,
2012-04,6.8,
2012-07,6.1,
2012-10,3.9,
2013-01,-3.6,
2013-04,5.9,
2013-07,8.6,
2013-10,0.7,
2014-01,0.3,
2014-04,5.8,
2014-07,9.3,
