"",BBAI3.Q.DE.N.V.LE.F.SK.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F.SK.A1.S.1.N.E.Z_FLAGS
"",Assets / Death benefit funds / Total financial assets / liabilities / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:47,
2005-10,1629,
2006-01,1434,
2006-04,1403,
2006-07,1405,
2006-10,1697,
2007-01,1439,
2007-04,1464,
2007-07,1465,
2007-10,1754,
2008-01,1493,
2008-04,1473,
2008-07,1485,
2008-10,1763,
2009-01,1508,
2009-04,1519,
2009-07,1559,
2009-10,1841,
2010-01,1591,
2010-04,1597,
2010-07,1621,
2010-10,1895,
2011-01,1635,
2011-04,1659,
2011-07,1657,
2011-10,1914,
2012-01,1772,
2012-04,1777,
2012-07,1807,
2012-10,2014,
2013-01,1867,
2013-04,1857,
2013-07,1874,
2013-10,2053,
2014-01,1919,
2014-04,1950,
2014-07,1963,
