"",BBK01.TZ5361O,BBK01.TZ5361O_FLAGS
"","Credit to enterprises and households (from June 2010, excluding reverse repos with central counterparties) / Euro area / All maturities / German contribution / Financial transactions (flows) / Seasonally adjusted",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-27 09:16:17,
1999-01,29.0,
1999-02,1.4,
1999-03,23.4,
1999-04,9.5,
1999-05,15.6,
1999-06,14.3,
1999-07,14.7,
1999-08,9.8,
1999-09,12.2,
1999-10,14.0,
1999-11,15.6,
1999-12,11.4,
2000-01,16.5,
2000-02,8.9,
2000-03,35.8,
2000-04,10.6,
2000-05,19.6,
2000-06,-12.0,
2000-07,12.1,
2000-08,15.2,
2000-09,14.2,
2000-10,8.2,
2000-11,9.6,
2000-12,-2.7,
2001-01,16.8,
2001-02,14.2,
2001-03,14.5,
2001-04,2.7,
2001-05,9.7,
2001-06,-6.6,
2001-07,2.6,
2001-08,3.2,
2001-09,1.1,
2001-10,9.0,
2001-11,1.0,
2001-12,9.4,
2002-01,-4.0,
2002-02,-1.7,
2002-03,-9.9,
2002-04,1.3,
2002-05,7.9,
2002-06,2.6,
2002-07,1.8,
2002-08,10.1,
2002-09,2.2,
2002-10,10.5,
2002-11,-1.5,
2002-12,15.3,
2003-01,0.5,
2003-02,7.9,
2003-03,-1.1,
2003-04,-13.1,
2003-05,18.3,
2003-06,10.0,
2003-07,-4.6,
2003-08,5.6,
2003-09,4.5,
2003-10,-7.4,
2003-11,10.1,
2003-12,7.0,
2004-01,-10.1,
2004-02,2.4,
2004-03,6.7,
2004-04,-4.6,
2004-05,4.7,
2004-06,0.0,
2004-07,-1.2,
2004-08,-5.0,
2004-09,2.3,
2004-10,1.1,
2004-11,6.1,
2004-12,7.0,
2005-01,1.6,
2005-02,-0.1,
2005-03,-5.1,
2005-04,27.7,
2005-05,1.3,
2005-06,5.7,
2005-07,4.6,
2005-08,7.4,
2005-09,7.5,
2005-10,12.3,
2005-11,-4.1,
2005-12,8.9,
2006-01,21.8,
2006-02,12.0,
2006-03,11.4,
2006-04,19.5,
2006-05,8.4,
2006-06,2.3,
2006-07,-4.7,
2006-08,9.1,
2006-09,23.5,
2006-10,0.6,
2006-11,-1.1,
2006-12,-7.9,
2007-01,13.7,
2007-02,2.1,
2007-03,7.6,
2007-04,6.6,
2007-05,2.7,
2007-06,6.4,
2007-07,8.5,
2007-08,18.0,
2007-09,11.5,
2007-10,10.5,
2007-11,-3.0,
2007-12,32.3,
2008-01,20.7,
2008-02,-10.6,
2008-03,35.4,
2008-04,12.0,
2008-05,12.3,
2008-06,12.5,
2008-07,16.4,
2008-08,34.1,
2008-09,11.1,
2008-10,-10.7,
2008-11,2.6,
2008-12,41.7,
2009-01,10.4,
2009-02,-3.0,
2009-03,5.1,
2009-04,-18.2,
2009-05,16.4,
2009-06,34.3,
2009-07,-22.6,
2009-08,-16.8,
2009-09,14.1,
2009-10,-16.9,
2009-11,-3.7,
2009-12,-3.2,
2010-01,-15.4,
2010-02,-11.3,
2010-03,-14.0,
2010-04,18.5,
2010-05,-33.6,
2010-06,5.9,
2010-07,-2.1,
2010-08,0.5,
2010-09,-13.6,
2010-10,3.3,
2010-11,6.8,
2010-12,4.4,
2011-01,1.0,
2011-02,3.3,
2011-03,-4.3,
2011-04,2.6,
2011-05,-4.8,
2011-06,-1.3,
2011-07,-5.4,
2011-08,4.4,
2011-09,0.3,
2011-10,4.6,
2011-11,1.4,
2011-12,-6.5,
2012-01,5.0,
2012-02,0.4,
2012-03,5.5,
2012-04,-10.7,
2012-05,2.0,
2012-06,6.6,
2012-07,5.2,
2012-08,6.0,
2012-09,7.2,
2012-10,-3.2,
2012-11,1.1,
2012-12,1.3,
2013-01,2.7,
2013-02,2.2,
2013-03,7.2,
2013-04,-2.5,
2013-05,5.5,
2013-06,3.0,
2013-07,0.7,
2013-08,2.4,
2013-09,1.9,
2013-10,7.5,
2013-11,1.0,
2013-12,0.1,
2014-01,5.0,
2014-02,0.6,
2014-03,3.6,
2014-04,3.1,
2014-05,11.5,
2014-06,8.9,
2014-07,6.6,
2014-08,2.4,
2014-09,4.8,
2014-10,0.3,
2014-11,6.4,
2014-12,7.3,Provisional value
2015-01,0.7,
