"",BBK01.CEFBK0,BBK01.CEFBK0_FLAGS
"",long-term debt securities  debtor: Insurance corporations                                                                                     creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:36:29,
1999-01,0.3,
1999-04,0.3,
1999-07,0.3,
1999-10,0.3,
2000-01,0.3,
2000-04,0.3,
2000-07,0.3,
2000-10,1.5,
2001-01,1.5,
2001-04,1.5,
2001-07,1.6,
2001-10,1.5,
2002-01,1.6,
2002-04,1.6,
2002-07,1.6,
2002-10,1.8,
2003-01,1.8,
2003-04,1.8,
2003-07,1.8,
2003-10,2.0,
2004-01,2.0,
2004-04,2.0,
2004-07,2.1,
2004-10,2.2,
2005-01,2.2,
2005-04,2.3,
2005-07,2.3,
2005-10,1.0,
2006-01,6.7,
2006-04,6.6,
2006-07,7.0,
2006-10,7.2,
2007-01,7.1,
2007-04,8.3,
2007-07,8.4,
2007-10,9.4,
2008-01,9.6,
2008-04,10.3,
2008-07,10.7,
2008-10,14.6,
2009-01,14.7,
2009-04,15.5,
2009-07,16.0,
2009-10,15.9,
2010-01,16.1,
2010-04,17.3,
2010-07,17.6,
2010-10,16.9,
2011-01,16.4,
2011-04,17.6,
2011-07,18.8,
2011-10,18.8,
2012-01,20.5,
2012-04,20.3,
2012-07,20.1,
2012-10,23.0,
2013-01,22.1,
2013-04,18.3,
2013-07,16.4,
2013-10,17.0,
2014-01,16.1,
2014-04,16.1,
2014-07,18.3,
