"",BBAI3.Q.DE.N.V.LE.F511.S125.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F511.S125.A1.S.1.N.E.Z_FLAGS
"",Assets / Insurance corporations and pension funds (ICPFs) / Shares and other equity - Quoted shares / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:28,
2005-10,38303,
2006-01,45852,
2006-04,47778,
2006-07,51048,
2006-10,55133,
2007-01,54905,
2007-04,54676,
2007-07,50000,
2007-10,50295,
2008-01,43983,
2008-04,39432,
2008-07,34310,
2008-10,24855,
2009-01,22056,
2009-04,22120,
2009-07,23200,
2009-10,25193,
2010-01,25330,
2010-04,24075,
2010-07,24167,
2010-10,26065,
2011-01,25536,
2011-04,22877,
2011-07,19643,
2011-10,17237,
2012-01,17370,
2012-04,16846,
2012-07,16624,
2012-10,21645,
2013-01,14500,
2013-04,14661,
2013-07,14572,
2013-10,15748,
2014-01,16580,
2014-04,16304,
2014-07,15633,
