"",BBK01.CEFO0K,BBK01.CEFO0K_FLAGS
"",Other deposits  debtor: Total           creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:36:08,
1999-01,277.4,
1999-04,278.8,
1999-07,286.3,
1999-10,293.9,
2000-01,304.3,
2000-04,306.4,
2000-07,307.2,
2000-10,309.5,
2001-01,314.8,
2001-04,317.3,
2001-07,320.6,
2001-10,322.5,
2002-01,326.1,
2002-04,325.9,
2002-07,328.4,
2002-10,330.8,
2003-01,338.4,
2003-04,338.6,
2003-07,343.6,
2003-10,337.8,
2004-01,347.4,
2004-04,353.8,
2004-07,360.2,
2004-10,364.7,
2005-01,376.2,
2005-04,376.3,
2005-07,377.7,
2005-10,373.0,
2006-01,381.4,
2006-04,389.2,
2006-07,397.0,
2006-10,397.5,
2007-01,409.5,
2007-04,418.9,
2007-07,422.2,
2007-10,426.6,
2008-01,435.9,
2008-04,436.3,
2008-07,433.8,
2008-10,428.2,
2009-01,439.1,
2009-04,438.1,
2009-07,438.9,
2009-10,433.6,
2010-01,438.2,
2010-04,432.5,
2010-07,429.9,
2010-10,419.8,
2011-01,426.4,
2011-04,427.3,
2011-07,428.8,
2011-10,421.5,
2012-01,424.6,
2012-04,421.3,
2012-07,422.4,
2012-10,409.7,
2013-01,412.3,
2013-04,410.5,
2013-07,405.8,
2013-10,402.3,
2014-01,399.0,
2014-04,395.9,
2014-07,391.9,
